elect_dist,geometry
46049,"list(list(c(-74.0262631546064, -74.023853293764, -74.0241534346817, -74.024448890422, -74.0267333459602, -74.0268572020726, -74.0273910282453, -74.0285923068645, -74.0289315884933, -74.0295728483018, -74.0292746497474, -74.0289757600683, -74.0284031530649, -74.0271434539701, -74.0262631546064, 40.627919957396, 40.62651447391, 40.6257804159255, 40.6250484463409, 40.6264252737421, 40.6264577469498, 40.6265862758387, 40.6268710880418, 40.626951528675, 40.6271035525948, 40.6278329239578, 40.6285640771682, 
40.6284281152475, 40.6281310419333, 40.627919957396)))"
46053,"list(list(c(-74.0274372501343, -74.0277339448371, -74.0279902944255, -74.0307077557451, -74.0310599178661, -74.0313598837466, -74.0323488487347, -74.0340433070531, -74.0337421167045, -74.0333913533005, -74.0360710950868, -74.0357888357022, -74.035514330947, -74.032832309428, -74.0306237275092, -74.0301494502416, -74.0274372501343, 40.6250276089114, 40.6243014032268, 40.6236824961447, 40.6243282577836, 40.6234628980092, 40.6227287216552, 40.622962565218, 40.6233631947277, 40.6240989726048, 40.6249667922578, 
40.6255988732142, 40.6262850497848, 40.6269617317102, 40.626329049473, 40.6258037560566, 40.6256909464553, 40.6250276089114)))"
46066,"list(list(c(-74.0134087723857, -74.0137903205478, -74.0157081171445, -74.0150007203463, -74.0142847452632, -74.0135720346891, -74.0128574103218, -74.0121416293582, -74.0105002974342, -74.011081515624, -74.0116652529346, -74.0122453399759, -74.0128273095168, -74.0134087723857, 40.6248958794714, 40.6251280601258, 40.6262950498734, 40.626768907095, 40.6272471474084, 40.627727877019, 40.6282063513171, 40.628684335437, 40.6276927996191, 40.6271340178581, 40.6265741695646, 40.6260156066226, 40.6254557349584, 
40.6248958794714)))"
46069,"list(list(c(-74.0142028835077, -74.0147848719226, -74.0153672880205, -74.0171638661565, -74.0175699417681, -74.0181516201312, -74.0187329461707, -74.0203030423071, -74.0211769946009, -74.0209036827418, -74.0206233103417, -74.0206082815107, -74.0204240990773, -74.02035701583, -74.0201374125295, -74.0200866726849, -74.0197049155713, -74.0193870292767, -74.0190757830465, -74.0164062233588, -74.0142028835077, 40.6206847443857, 40.6201247998332, 40.6195636177234, 40.6206521730624, 40.6208982069831, 40.6203364438377, 
40.6197770377503, 40.6207052481081, 40.6212578568599, 40.6215261668624, 40.6218062515635, 40.6219261742003, 40.6221633103663, 40.6221229969182, 40.6223435406393, 40.6224209521593, 40.6221849650081, 40.6228918191997, 40.6236146735349, 40.6220141768869, 40.6206847443857)))"
46070,"list(list(c(-74.0093416449816, -74.0099237199307, -74.0105040358741, -74.0110864810411, -74.0117120155573, -74.0139065644022, -74.0144510739002, -74.0161182401561, -74.0154887759035, -74.0149090036494, -74.0143276138145, -74.0137480884053, -74.0131638131488, -74.0109617606592, -74.0115434719953, -74.0093416449816, 40.6150150960398, 40.6144566431481, 40.613896611995, 40.6133390442022, 40.6127350291875, 40.6140523615145, 40.6143801988338, 40.6153840362545, 40.615997917266, 40.6165578928141, 40.6171173439213, 
40.6176765948177, 40.6182361731673, 40.6169063441809, 40.6163449377382, 40.6150150960398)))"
46071,"list(list(c(-74.0153672880205, -74.0159493398453, -74.0165297873489, -74.0171110276122, -74.0176915965047, -74.0183257897032, -74.0198416396611, -74.0205260869444, -74.0212154826465, -74.0214520755885, -74.0216084845694, -74.0218300638168, -74.0227329117212, -74.0220036649981, -74.0228759874349, -74.022932703403, -74.0231850514509, -74.0232664343457, -74.0231207073104, -74.0227163027262, -74.0222700249837, -74.022151924431, -74.0220765455612, -74.021952406481, -74.0218845076175, -74.0217404579948, 
-74.0218658168151, -74.0218015423918, -74.0217292553149, -74.0211769946009, -74.0203030423071, -74.0187329461707, -74.0181516201312, -74.0175699417681, -74.0171638661565, -74.0153672880205, 40.6195636177234, 40.6190048734069, 40.6184470358542, 40.6178875209358, 40.6173259484068, 40.6167260520331, 40.6176439752545, 40.6180578444741, 40.6184719852792, 40.6180271916874, 40.6175367382938, 40.6176434639022, 40.6180881104773, 40.61893867579, 40.6194661479088, 40.6195046251807, 40.6196758528367, 40.619724681094, 
40.6198938006714, 40.6203634668716, 40.6208809298443, 40.6210194713267, 40.6209745673386, 40.620900712256, 40.620856851925, 40.6207746145801, 40.620641727071, 40.6206031661089, 40.6206794521361, 40.6212578568599, 40.6207052481081, 40.6197770377503, 40.6203364438377, 40.6208982069831, 40.6206521730624, 40.6195636177234)))"
61052,"list(list(c(-74.0836002634675, -74.0837395220229, -74.0837396047715, -74.0837396760748, -74.0838601549062, -74.0838602610913, -74.0838603430896, -74.0839610752991, -74.0839611220079, -74.0839611579322, -74.0840413171143, -74.0840413637901, -74.084041399681, -74.0841004095421, -74.0841379885826, -74.0841380121944, -74.0841380236999, -74.0841541987568, -74.0849621187666, -74.0852499163183, -74.0859601710746, -74.0864822463119, -74.0878166396721, -74.0884899756264, -74.0885447285158, -74.090068777984, 
-74.0912170616673, -74.0909499380427, -74.090751747133, -74.0907978461091, -74.0908385592779, -74.0924661426403, -74.0908305142521, -74.091593614802, -74.0905838167145, -74.0905257088842, -74.0893431251332, -74.0892759179685, -74.0891972346467, -74.0891080851653, -74.0890097726163, -74.0889038770535, -74.0887063588463, -74.0885231356479, -74.0883562136892, -74.0882072811743, -74.0880776494619, -74.086822347328, -74.0852072697828, -74.0851836515094, -74.0851667559948, -74.0851568189505, -74.0851539790029, 
-74.0851582757599, -74.0851696493125, -74.0851879410039, -74.0852128956157, -74.0852441649704, -74.0852813127897, -74.0857028516361, -74.085774197228, -74.0858456327785, -74.0859161941011, -74.0859849288098, -74.0860509091759, -74.0861132446966, -74.0861710940214, -74.0862236763541, -74.0864971314337, -74.0862104876946, -74.0853286368279, -74.0854299068179, -74.0848074146859, -74.0845085791041, -74.0836002634675, 40.6278827830177, 40.6276683480868, 40.6276682310914, 40.6276681048903, 40.6274458947381, 
40.6274457058558, 40.627445516991, 40.6272167479708, 40.6272166480896, 40.6272165398398, 40.626982742145, 40.6269826162967, 40.6269824817449, 40.626745250211, 40.6265062870012, 40.626506179933, 40.6265060624869, 40.6262671154303, 40.6246252330335, 40.6228008712858, 40.622836588611, 40.6226378265049, 40.6225620087973, 40.6234490759789, 40.6226186007788, 40.6225406125811, 40.6224826138828, 40.623356222876, 40.6240480326311, 40.6242697315085, 40.6244321981063, 40.6242074635406, 40.6260939431954, 40.6265586501346, 
40.6280514358475, 40.628139164987, 40.6299194434592, 40.6300060937664, 40.630087861769, 40.6301634801436, 40.6302318192165, 40.6302919906781, 40.6304275003963, 40.630575614851, 40.6307349636913, 40.6309039258576, 40.6310807167368, 40.6303178591101, 40.6293136363097, 40.6292712620979, 40.6292270617302, 40.6291816518869, 40.6291356661217, 40.6290897460219, 40.6290445319555, 40.6290006550565, 40.6289587274941, 40.6289193342392, 40.6288830249037, 40.6286480724007, 40.6286518262491, 40.6286492502968, 
40.6286403793122, 40.6286253330294, 40.628604314812, 40.6285776080812, 40.6285455733032, 40.6285086428574, 40.6280248667693, 40.627979606387, 40.6279481062718, 40.6273120839161, 40.6272699500909, 40.6279165903435, 40.6278827830177)))"
63003,"list(list(c(-74.1947422835371, -74.193630402773, -74.193550356643, -74.1927511829829, -74.195214727208, -74.1964591130653, -74.197392835817, -74.1974165754135, -74.1974317802253, -74.1969865777706, -74.1955304820177, -74.1947422835371, 40.5560006735368, 40.5549221986786, 40.5548452752299, 40.5540867988191, 40.5526165848402, 40.55187474474, 40.5532438484077, 40.553631464942, 40.5543527264473, 40.5555604621099, 40.5564758830803, 40.5560006735368)))"
