elect_dist,year,type,office,total_votes,albanese_prop,browder_prop,commey_prop,deblasio_prop,dietl_prop,malliotakis_prop,tolkin_prop,albanese_tot,browder_tot,commey_tot,deblasio_tot,dietl_tot,malliotakis_tot,tolkin_tot
45076,2017,general,mayor,115,0,0,0.008695652173913044,0.12173913043478261,0.034782608695652174,0.8260869565217391,0.008695652173913044,0,0,1,14,4,95,1
45077,2017,general,mayor,131,0.015267175572519083,0.007633587786259542,0,0.3816793893129771,0.007633587786259542,0.5725190839694656,0.015267175572519083,2,1,0,50,1,75,2
46031,2017,general,mayor,345,0.04927536231884058,0.014492753623188406,0.005797101449275362,0.5304347826086957,0.020289855072463767,0.3710144927536232,0.008695652173913044,17,5,2,183,7,128,3
46034,2017,general,mayor,199,0.05527638190954774,0.01507537688442211,0,0.45226130653266333,0.005025125628140704,0.46733668341708545,0.005025125628140704,11,3,0,90,1,93,1
46035,2017,general,mayor,105,0.009523809523809525,0.009523809523809525,0,0.4,0.009523809523809525,0.5714285714285714,0,1,1,0,42,1,60,0
46036,2017,general,mayor,269,0.022304832713754646,0.007434944237918215,0,0.20074349442379183,0.02973977695167286,0.7323420074349443,0.007434944237918215,6,2,0,54,8,197,2
46037,2017,general,mayor,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0
46038,2017,general,mayor,154,0.03896103896103896,0.012987012987012988,0,0.43506493506493504,0.025974025974025976,0.4675324675324675,0.01948051948051948,6,2,0,67,4,72,3
46039,2017,general,mayor,98,0.02040816326530612,0.02040816326530612,0,0.45918367346938777,0,0.4897959183673469,0.01020408163265306,2,2,0,45,0,48,1
46040,2017,general,mayor,66,0.09090909090909091,0.015151515151515152,0.015151515151515152,0.3181818181818182,0.015151515151515152,0.5303030303030303,0.015151515151515152,6,1,1,21,1,35,1
46041,2017,general,mayor,441,0.047619047619047616,0.009070294784580499,0.0022675736961451248,0.35600907029478457,0.013605442176870748,0.564625850340136,0.006802721088435374,21,4,1,157,6,249,3
46042,2017,general,mayor,216,0.06018518518518518,0.004629629629629629,0,0.2916666666666667,0.023148148148148147,0.6157407407407407,0.004629629629629629,13,1,0,63,5,133,1
46047,2017,general,mayor,303,0.036303630363036306,0.0033003300330033004,0,0.2079207920792079,0.033003300330033,0.7095709570957096,0.009900990099009901,11,1,0,63,10,215,3
46048,2017,general,mayor,307,0.029315960912052116,0.009771986970684038,0.003257328990228013,0.4560260586319218,0.006514657980456026,0.49185667752442996,0.003257328990228013,9,3,1,140,2,151,1
46049,2017,general,mayor,349,0.06017191977077364,0.014326647564469915,0,0.44412607449856734,0.0057306590257879654,0.4670487106017192,0.008595988538681949,21,5,0,155,2,163,3
46050,2017,general,mayor,377,0.03183023872679045,0.013262599469496022,0.005305039787798408,0.27320954907161804,0.007957559681697613,0.6657824933687002,0.002652519893899204,12,5,2,103,3,251,1
46051,2017,general,mayor,407,0.0343980343980344,0.002457002457002457,0,0.26044226044226043,0.009828009828009828,0.687960687960688,0.004914004914004914,14,1,0,106,4,280,2
46052,2017,general,mayor,329,0.0425531914893617,0,0.0060790273556231,0.4133738601823708,0.015197568389057751,0.513677811550152,0.00911854103343465,14,0,2,136,5,169,3
46053,2017,general,mayor,348,0.040229885057471264,0.014367816091954023,0,0.4425287356321839,0.0028735632183908046,0.48563218390804597,0.014367816091954023,14,5,0,154,1,169,5
46054,2017,general,mayor,269,0.02973977695167286,0,0,0.45353159851301117,0.01858736059479554,0.49814126394052044,0,8,0,0,122,5,134,0
46055,2017,general,mayor,297,0.026936026936026935,0,0,0.46464646464646464,0.020202020202020204,0.4781144781144781,0.010101010101010102,8,0,0,138,6,142,3
46056,2017,general,mayor,328,0.057926829268292686,0.027439024390243903,0,0.5060975609756098,0.009146341463414634,0.3932926829268293,0.006097560975609756,19,9,0,166,3,129,2
46057,2017,general,mayor,308,0.05844155844155844,0.00974025974025974,0.003246753246753247,0.33766233766233766,0.006493506493506494,0.577922077922078,0.006493506493506494,18,3,1,104,2,178,2
46058,2017,general,mayor,362,0.022099447513812154,0.011049723756906077,0,0.4530386740331492,0.0055248618784530384,0.505524861878453,0.0027624309392265192,8,4,0,164,2,183,1
46059,2017,general,mayor,334,0.06287425149700598,0.014970059880239521,0.0029940119760479044,0.46107784431137727,0.014970059880239521,0.4311377245508982,0.011976047904191617,21,5,1,154,5,144,4
46060,2017,general,mayor,429,0.08158508158508158,0.011655011655011656,0,0.3706293706293706,0.006993006993006993,0.5291375291375291,0,35,5,0,159,3,227,0
46061,2017,general,mayor,197,0.025380710659898477,0.01015228426395939,0,0.3248730964467005,0,0.6395939086294417,0,5,2,0,64,0,126,0
46062,2017,general,mayor,369,0.051490514905149054,0.018970189701897018,0.0027100271002710027,0.39295392953929537,0.018970189701897018,0.4986449864498645,0.016260162601626018,19,7,1,145,7,184,6
46063,2017,general,mayor,359,0.03899721448467967,0.013927576601671309,0.002785515320334262,0.39275766016713093,0.005571030640668524,0.5459610027855153,0,14,5,1,141,2,196,0
46064,2017,general,mayor,373,0.0777479892761394,0.013404825737265416,0,0.38337801608579086,0.0160857908847185,0.4959785522788204,0.013404825737265416,29,5,0,143,6,185,5
46065,2017,general,mayor,393,0.043256997455470736,0.002544529262086514,0.010178117048346057,0.3969465648854962,0.020356234096692113,0.5063613231552163,0.020356234096692113,17,1,4,156,8,199,8
46066,2017,general,mayor,295,0.03728813559322034,0.006779661016949152,0,0.2847457627118644,0.01694915254237288,0.6372881355932203,0.01694915254237288,11,2,0,84,5,188,5
46067,2017,general,mayor,339,0.058997050147492625,0.0058997050147492625,0.0058997050147492625,0.1976401179941003,0.017699115044247787,0.7050147492625368,0.008849557522123894,20,2,2,67,6,239,3
46068,2017,general,mayor,411,0.08759124087591241,0.004866180048661801,0.0072992700729927005,0.1873479318734793,0.0072992700729927005,0.7055961070559611,0,36,2,3,77,3,290,0
46069,2017,general,mayor,340,0.05,0.0058823529411764705,0,0.19705882352941176,0.0058823529411764705,0.7382352941176471,0.0029411764705882353,17,2,0,67,2,251,1
46070,2017,general,mayor,303,0.036303630363036306,0.0033003300330033004,0,0.132013201320132,0.009900990099009901,0.8151815181518152,0.0033003300330033004,11,1,0,40,3,247,1
46071,2017,general,mayor,312,0.05128205128205128,0,0,0.22435897435897437,0.028846153846153848,0.6955128205128205,0,16,0,0,70,9,217,0
46072,2017,general,mayor,341,0.03519061583577713,0.002932551319648094,0,0.3343108504398827,0.020527859237536656,0.60410557184750735,0.002932551319648094,12,1,0,114,7,206,1
46074,2017,general,mayor,63,0.047619047619047616,0,0,0.5238095238095238,0,0.42857142857142855,0,3,0,0,33,0,27,0
46075,2017,general,mayor,378,0.07142857142857142,0.018518518518518517,0.0026455026455026454,0.35185185185185186,0.007936507936507936,0.544973544973545,0.0026455026455026454,27,7,1,133,3,206,1
46076,2017,general,mayor,266,0.06390977443609022,0.011278195488721804,0,0.37218045112781956,0.007518796992481203,0.5413533834586466,0.0037593984962406013,17,3,0,99,2,144,1
46077,2017,general,mayor,192,0.020833333333333332,0.005208333333333333,0,0.3385416666666667,0.020833333333333332,0.609375,0.005208333333333333,4,1,0,65,4,117,1
46078,2017,general,mayor,421,0.05463182897862233,0.009501187648456057,0,0.2921615201900237,0.023752969121140142,0.6199524940617577,0,23,4,0,123,10,261,0
46079,2017,general,mayor,385,0.05974025974025974,0.0025974025974025974,0,0.11688311688311688,0.012987012987012988,0.8025974025974026,0.005194805194805195,23,1,0,45,5,309,2
46083,2017,general,mayor,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0
47001,2017,general,mayor,199,0.02512562814070352,0.01507537688442211,0.005025125628140704,0.18592964824120603,0.04020100502512563,0.7185929648241206,0.010050251256281407,5,3,1,37,8,143,2
47002,2017,general,mayor,190,0.02631578947368421,0.005263157894736842,0,0.3368421052631579,0.015789473684210527,0.6105263157894737,0.005263157894736842,5,1,0,64,3,116,1
47005,2017,general,mayor,214,0.04672897196261682,0.009345794392523364,0,0.308411214953271,0.014018691588785047,0.6074766355140186,0.014018691588785047,10,2,0,66,3,130,3
47006,2017,general,mayor,168,0.017857142857142856,0.017857142857142856,0,0.35119047619047616,0.011904761904761904,0.5952380952380952,0.005952380952380952,3,3,0,59,2,100,1
47007,2017,general,mayor,157,0.06369426751592357,0.012738853503184714,0,0.31210191082802546,0.012738853503184714,0.5605095541401274,0.03821656050955414,10,2,0,49,2,88,6
47008,2017,general,mayor,249,0.04417670682730924,0,0,0.285140562248996,0.020080321285140562,0.642570281124498,0.008032128514056224,11,0,0,71,5,160,2
47009,2017,general,mayor,240,0.025,0.008333333333333333,0.004166666666666667,0.30416666666666664,0.029166666666666667,0.6291666666666667,0,6,2,1,73,7,151,0
47011,2017,general,mayor,134,0.03731343283582089,0.007462686567164179,0,0.3880597014925373,0,0.5597014925373134,0.007462686567164179,5,1,0,52,0,75,1
47012,2017,general,mayor,155,0.012903225806451613,0.012903225806451613,0,0.38064516129032255,0.01935483870967742,0.5483870967741935,0.025806451612903226,2,2,0,59,3,85,4
47013,2017,general,mayor,198,0.050505050505050504,0.005050505050505051,0,0.41414141414141414,0,0.5252525252525253,0.005050505050505051,10,1,0,82,0,104,1
47014,2017,general,mayor,222,0.04054054054054054,0.009009009009009009,0,0.36486486486486486,0.009009009009009009,0.5675675675675675,0.009009009009009009,9,2,0,81,2,126,2
47015,2017,general,mayor,212,0.018867924528301886,0.009433962264150943,0,0.5707547169811321,0.02358490566037736,0.37264150943396224,0.0047169811320754715,4,2,0,121,5,79,1
47016,2017,general,mayor,135,0.037037037037037035,0,0,0.4074074074074074,0.007407407407407408,0.5333333333333333,0.014814814814814815,5,0,0,55,1,72,2
47017,2017,general,mayor,158,0.02531645569620253,0,0.012658227848101266,0.45569620253164556,0.006329113924050633,0.4810126582278481,0.0189873417721519,4,0,2,72,1,76,3
47018,2017,general,mayor,177,0.03389830508474576,0.005649717514124294,0,0.3163841807909605,0.02824858757062147,0.5932203389830508,0.022598870056497175,6,1,0,56,5,105,4
47019,2017,general,mayor,38,0,0,0,0.34210526315789475,0.02631578947368421,0.6052631578947368,0.02631578947368421,0,0,0,13,1,23,1
47032,2017,general,mayor,52,0.11538461538461539,0,0,0.40384615384615385,0.038461538461538464,0.4423076923076923,0,6,0,0,21,2,23,0
47038,2017,general,mayor,44,0.045454545454545456,0,0,0.4772727272727273,0.022727272727272728,0.45454545454545453,0,2,0,0,21,1,20,0
47041,2017,general,mayor,208,0,0.019230769230769232,0.004807692307692308,0.3076923076923077,0.004807692307692308,0.6490384615384616,0.014423076923076924,0,4,1,64,1,135,3
47048,2017,general,mayor,235,0.05106382978723404,0.01276595744680851,0.00851063829787234,0.20851063829787234,0.01702127659574468,0.6808510638297872,0.02127659574468085,12,3,2,49,4,160,5
47049,2017,general,mayor,173,0.023121387283236993,0,0.005780346820809248,0.21965317919075145,0.03468208092485549,0.7109826589595376,0.005780346820809248,4,0,1,38,6,123,1
47053,2017,general,mayor,98,0,0.030612244897959183,0,0.7653061224489796,0,0.19387755102040816,0.01020408163265306,0,3,0,75,0,19,1
47054,2017,general,mayor,125,0,0.024,0,0.92,0,0.048,0.008,0,3,0,115,0,6,1
47055,2017,general,mayor,205,0.03902439024390244,0.00975609756097561,0.004878048780487805,0.35121951219512193,0.004878048780487805,0.5853658536585366,0.004878048780487805,8,2,1,72,1,120,1
47056,2017,general,mayor,152,0.03289473684210526,0.006578947368421052,0,0.3815789473684211,0.013157894736842105,0.5394736842105263,0.02631578947368421,5,1,0,58,2,82,4
47057,2017,general,mayor,266,0.04887218045112782,0.018796992481203006,0,0.2556390977443609,0.0037593984962406013,0.6729323308270677,0,13,5,0,68,1,179,0
47058,2017,general,mayor,163,0.024539877300613498,0.006134969325153374,0,0.3128834355828221,0.018404907975460124,0.6319018404907976,0.006134969325153374,4,1,0,51,3,103,1
47059,2017,general,mayor,195,0.035897435897435895,0.010256410256410256,0.010256410256410256,0.3282051282051282,0.02564102564102564,0.5794871794871795,0.010256410256410256,7,2,2,64,5,113,2
47060,2017,general,mayor,63,0.031746031746031744,0,0,0.5238095238095238,0,0.4444444444444444,0,2,0,0,33,0,28,0
47061,2017,general,mayor,139,0.04316546762589928,0.02877697841726619,0,0.43884892086330934,0.03597122302158273,0.4460431654676259,0.007194244604316547,6,4,0,61,5,62,1
47062,2017,general,mayor,140,0.02142857142857143,0.007142857142857143,0,0.34285714285714286,0.014285714285714285,0.5714285714285714,0.04285714285714286,3,1,0,48,2,80,6
47063,2017,general,mayor,134,0.03731343283582089,0.007462686567164179,0,0.3805970149253731,0,0.5597014925373134,0.014925373134328358,5,1,0,51,0,75,2
47064,2017,general,mayor,162,0.037037037037037035,0.012345679012345678,0.012345679012345678,0.46296296296296297,0,0.4691358024691358,0.006172839506172839,6,2,2,75,0,76,1
47065,2017,general,mayor,177,0.01694915254237288,0.01694915254237288,0.005649717514124294,0.3333333333333333,0.02824858757062147,0.5819209039548022,0.01694915254237288,3,3,1,59,5,103,3
47066,2017,general,mayor,84,0.023809523809523808,0.011904761904761904,0.011904761904761904,0.2976190476190476,0.023809523809523808,0.6190476190476191,0.011904761904761904,2,1,1,25,2,52,1
47067,2017,general,mayor,120,0.016666666666666666,0.008333333333333333,0,0.38333333333333336,0.025,0.5666666666666667,0,2,1,0,46,3,68,0
47068,2017,general,mayor,42,0.047619047619047616,0,0,0.30952380952380953,0,0.6428571428571429,0,2,0,0,13,0,27,0
47071,2017,general,mayor,169,0.0650887573964497,0.005917159763313609,0,0.1952662721893491,0.005917159763313609,0.7041420118343196,0.023668639053254437,11,1,0,33,1,119,4
49036,2017,general,mayor,59,0,0,0,0.423728813559322,0.05084745762711865,0.5254237288135594,0,0,0,0,25,3,31,0
49044,2017,general,mayor,50,0.04,0.02,0,0.4,0,0.54,0,2,1,0,20,0,27,0
49045,2017,general,mayor,65,0,0.03076923076923077,0,0.36923076923076925,0.015384615384615385,0.5846153846153846,0,0,2,0,24,1,38,0
49047,2017,general,mayor,224,0.026785714285714284,0,0.013392857142857142,0.4642857142857143,0.013392857142857142,0.47767857142857145,0.004464285714285714,6,0,3,104,3,107,1
49048,2017,general,mayor,259,0.03088803088803089,0.007722007722007722,0,0.2548262548262548,0.007722007722007722,0.6988416988416989,0,8,2,0,66,2,181,0
49049,2017,general,mayor,241,0.03319502074688797,0.008298755186721992,0,0.3278008298755187,0.012448132780082987,0.6182572614107884,0,8,2,0,79,3,149,0
49050,2017,general,mayor,195,0.07692307692307693,0.005128205128205128,0,0.3282051282051282,0.010256410256410256,0.5743589743589743,0.005128205128205128,15,1,0,64,2,112,1
49051,2017,general,mayor,206,0.03398058252427184,0.0048543689320388345,0.014563106796116505,0.23300970873786409,0.0048543689320388345,0.6941747572815534,0.014563106796116505,7,1,3,48,1,143,3
49052,2017,general,mayor,186,0.03225806451612903,0,0,0.3225806451612903,0.005376344086021506,0.6344086021505376,0.005376344086021506,6,0,0,60,1,118,1
49053,2017,general,mayor,364,0.06318681318681318,0,0.0027472527472527475,0.19230769230769232,0.005494505494505495,0.7335164835164835,0.0027472527472527475,23,0,1,70,2,267,1
49054,2017,general,mayor,198,0.030303030303030304,0,0,0.19696969696969696,0.005050505050505051,0.7575757575757576,0.010101010101010102,6,0,0,39,1,150,2
49063,2017,general,mayor,220,0.05,0.004545454545454545,0,0.22272727272727272,0.013636363636363636,0.7090909090909091,0,11,1,0,49,3,156,0
49065,2017,general,mayor,193,0.046632124352331605,0,0,0.3005181347150259,0.02072538860103627,0.6269430051813472,0.0051813471502590676,9,0,0,58,4,121,1
49071,2017,general,mayor,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0
51059,2017,general,mayor,175,0.02857142857142857,0.04,0.005714285714285714,0.6114285714285714,0.02857142857142857,0.28,0.005714285714285714,5,7,1,107,5,49,1
51076,2017,general,mayor,204,0.05392156862745098,0.014705882352941176,0,0.5441176470588235,0.00980392156862745,0.37254901960784315,0.004901960784313725,11,3,0,111,2,76,1
61001,2017,general,mayor,329,0.030395136778115502,0.00303951367781155,0.00303951367781155,0.8358662613981763,0,0.11854103343465046,0.00911854103343465,10,1,1,275,0,39,3
61002,2017,general,mayor,343,0.02040816326530612,0.01749271137026239,0.0058309037900874635,0.7288629737609329,0.0058309037900874635,0.20408163265306123,0.01749271137026239,7,6,2,250,2,70,6
61003,2017,general,mayor,368,0.03260869565217391,0.021739130434782608,0.002717391304347826,0.6902173913043478,0.005434782608695652,0.23641304347826086,0.010869565217391304,12,8,1,254,2,87,4
61004,2017,general,mayor,240,0.029166666666666667,0.016666666666666666,0.004166666666666667,0.6791666666666667,0.008333333333333333,0.25,0.0125,7,4,1,163,2,60,3
61005,2017,general,mayor,232,0.021551724137931036,0.03017241379310345,0.004310344827586207,0.771551724137931,0.01293103448275862,0.14655172413793102,0.01293103448275862,5,7,1,179,3,34,3
61006,2017,general,mayor,183,0.02185792349726776,0.02185792349726776,0,0.4262295081967213,0.01639344262295082,0.4918032786885246,0.02185792349726776,4,4,0,78,3,90,4
61007,2017,general,mayor,240,0.008333333333333333,0.008333333333333333,0.004166666666666667,0.8958333333333334,0.004166666666666667,0.07916666666666666,0,2,2,1,215,1,19,0
61008,2017,general,mayor,164,0.006097560975609756,0.012195121951219513,0,0.8658536585365854,0.012195121951219513,0.0975609756097561,0.006097560975609756,1,2,0,142,2,16,1
61009,2017,general,mayor,410,0.00975609756097561,0.00975609756097561,0.004878048780487805,0.6585365853658537,0.00975609756097561,0.3024390243902439,0.004878048780487805,4,4,2,270,4,124,2
61010,2017,general,mayor,369,0.016260162601626018,0.008130081300813009,0,0.7208672086720868,0.005420054200542005,0.24390243902439024,0.005420054200542005,6,3,0,266,2,90,2
61011,2017,general,mayor,317,0.028391167192429023,0.00946372239747634,0.0031545741324921135,0.580441640378549,0.00946372239747634,0.36908517350157727,0,9,3,1,184,3,117,0
61012,2017,general,mayor,567,0.02292768959435626,0.015873015873015872,0,0.3844797178130511,0.003527336860670194,0.5661375661375662,0.007054673721340388,13,9,0,218,2,321,4
61013,2017,general,mayor,318,0.025157232704402517,0.0031446540880503146,0.006289308176100629,0.5880503144654088,0.015723270440251572,0.3584905660377358,0.0031446540880503146,8,1,2,187,5,114,1
61014,2017,general,mayor,383,0.015665796344647518,0.005221932114882507,0,0.38903394255874674,0.005221932114882507,0.5796344647519582,0.005221932114882507,6,2,0,149,2,222,2
61015,2017,general,mayor,288,0.020833333333333332,0.003472222222222222,0.003472222222222222,0.4652777777777778,0,0.4965277777777778,0.010416666666666666,6,1,1,134,0,143,3
61016,2017,general,mayor,233,0.004291845493562232,0.004291845493562232,0,0.8497854077253219,0.004291845493562232,0.13733905579399142,0,1,1,0,198,1,32,0
61017,2017,general,mayor,263,0.015209125475285171,0.015209125475285171,0,0.7832699619771863,0,0.17490494296577946,0.011406844106463879,4,4,0,206,0,46,3
61018,2017,general,mayor,261,0.007662835249042145,0.01532567049808429,0,0.45977011494252873,0.022988505747126436,0.48659003831417624,0.007662835249042145,2,4,0,120,6,127,2
61019,2017,general,mayor,323,0.02476780185758514,0.009287925696594427,0,0.4582043343653251,0.018575851393188854,0.48297213622291024,0.006191950464396285,8,3,0,148,6,156,2
61020,2017,general,mayor,296,0.016891891891891893,0.010135135135135136,0.0033783783783783786,0.42905405405405406,0.0033783783783783786,0.5304054054054054,0.006756756756756757,5,3,1,127,1,157,2
61021,2017,general,mayor,257,0.01556420233463035,0.0038910505836575876,0,0.7626459143968871,0.007782101167315175,0.21011673151750973,0,4,1,0,196,2,54,0
61022,2017,general,mayor,309,0.009708737864077669,0,0,0.7152103559870551,0.006472491909385114,0.26537216828478966,0.003236245954692557,3,0,0,221,2,82,1
61023,2017,general,mayor,267,0.026217228464419477,0.011235955056179775,0,0.49063670411985016,0.026217228464419477,0.44569288389513106,0,7,3,0,131,7,119,0
61024,2017,general,mayor,358,0.0111731843575419,0.002793296089385475,0,0.3268156424581006,0.01675977653631285,0.6396648044692738,0.002793296089385475,4,1,0,117,6,229,1
61025,2017,general,mayor,336,0.01488095238095238,0.005952380952380952,0.005952380952380952,0.46130952380952384,0.002976190476190476,0.5059523809523809,0.002976190476190476,5,2,2,155,1,170,1
61026,2017,general,mayor,262,0.019083969465648856,0.007633587786259542,0,0.6641221374045801,0.011450381679389313,0.29389312977099236,0.003816793893129771,5,2,0,174,3,77,1
61027,2017,general,mayor,257,0.0038910505836575876,0.01556420233463035,0.0038910505836575876,0.5797665369649806,0.007782101167315175,0.38132295719844356,0.007782101167315175,1,4,1,149,2,98,2
61028,2017,general,mayor,190,0.010526315789473684,0.005263157894736842,0,0.6105263157894737,0.005263157894736842,0.3631578947368421,0.005263157894736842,2,1,0,116,1,69,1
61029,2017,general,mayor,305,0.03278688524590164,0.006557377049180328,0,0.3475409836065574,0.009836065573770493,0.5934426229508196,0.009836065573770493,10,2,0,106,3,181,3
61030,2017,general,mayor,294,0.003401360544217687,0,0.003401360544217687,0.4013605442176871,0.01020408163265306,0.5782312925170068,0.003401360544217687,1,0,1,118,3,170,1
61031,2017,general,mayor,282,0.0070921985815602835,0.0035460992907801418,0,0.6950354609929078,0.010638297872340425,0.28368794326241137,0,2,1,0,196,3,80,0
