elect_dist,year,type,office,total_votes,obama_tot,romney_tot,obama_prop,romney_prop
61014,2012,general,president,720,494,214,0.6861111111111111,0.2972222222222222
61015,2012,general,president,702,503,195,0.7165242165242165,0.2777777777777778
61016,2012,general,president,644,626,15,0.9720496894409938,0.023291925465838508
61017,2012,general,president,652,594,50,0.911042944785276,0.07668711656441718
61018,2012,general,president,719,558,153,0.7760778859527121,0.21279554937413073
61019,2012,general,president,621,468,141,0.7536231884057971,0.22705314009661837
61020,2012,general,president,643,447,190,0.6951788491446346,0.2954898911353033
61021,2012,general,president,640,575,62,0.8984375,0.096875
61022,2012,general,president,607,514,88,0.8467874794069192,0.14497528830313014
61023,2012,general,president,639,469,156,0.7339593114241002,0.24413145539906103
61024,2012,general,president,665,352,307,0.5293233082706766,0.4616541353383459
61025,2012,general,president,686,524,153,0.7638483965014577,0.2230320699708455
61026,2012,general,president,635,553,75,0.8708661417322835,0.11811023622047244
61027,2012,general,president,595,488,101,0.8201680672268907,0.16974789915966387
61028,2012,general,president,593,453,130,0.7639123102866779,0.21922428330522767
61029,2012,general,president,676,411,259,0.6079881656804734,0.3831360946745562
61030,2012,general,president,673,527,144,0.7830609212481426,0.2139673105497771
61031,2012,general,president,527,439,84,0.8330170777988615,0.15939278937381404
61032,2012,general,president,431,359,69,0.8329466357308585,0.16009280742459397
61033,2012,general,president,361,309,48,0.8559556786703602,0.1329639889196676
61034,2012,general,president,647,238,397,0.3678516228748068,0.6136012364760433
61035,2012,general,president,476,175,294,0.36764705882352944,0.6176470588235294
61036,2012,general,president,356,153,200,0.4297752808988764,0.5617977528089888
61037,2012,general,president,649,443,187,0.6825885978428351,0.288135593220339
61038,2012,general,president,690,370,305,0.5362318840579711,0.4420289855072464
61039,2012,general,president,726,381,335,0.5247933884297521,0.46143250688705234
61040,2012,general,president,771,355,406,0.4604409857328145,0.5265888456549935
61041,2012,general,president,706,289,406,0.4093484419263456,0.5750708215297451
61042,2012,general,president,798,363,426,0.4548872180451128,0.5338345864661654
61043,2012,general,president,709,305,391,0.4301833568406206,0.5514809590973202
61044,2012,general,president,709,344,359,0.48519040902679833,0.5063469675599436
61045,2012,general,president,636,291,336,0.45754716981132076,0.5283018867924528
61046,2012,general,president,676,273,392,0.40384615384615385,0.5798816568047337
61047,2012,general,president,469,166,288,0.35394456289978676,0.6140724946695096
61048,2012,general,president,463,166,288,0.35853131749460043,0.6220302375809935
61049,2012,general,president,742,598,132,0.8059299191374663,0.1778975741239892
61050,2012,general,president,703,590,103,0.8392603129445235,0.1465149359886202
61051,2012,general,president,660,501,143,0.759090909090909,0.21666666666666667
61052,2012,general,president,719,540,177,0.7510431154381085,0.24617524339360222
61053,2012,general,president,762,739,18,0.9698162729658792,0.023622047244094488
61054,2012,general,president,537,434,92,0.8081936685288641,0.1713221601489758
61055,2012,general,president,680,604,65,0.888235294117647,0.09558823529411764
61056,2012,general,president,728,667,56,0.9162087912087912,0.07692307692307693
61057,2012,general,president,667,506,159,0.7586206896551724,0.2383808095952024
61058,2012,general,president,728,710,18,0.9752747252747253,0.024725274725274724
61059,2012,general,president,739,704,30,0.952638700947226,0.04059539918809202
61060,2012,general,president,532,438,85,0.8233082706766918,0.15977443609022557
61061,2012,general,president,669,661,8,0.9880418535127056,0.01195814648729447
62001,2012,general,president,703,227,469,0.3229018492176387,0.6671408250355618
62002,2012,general,president,710,197,505,0.2774647887323944,0.7112676056338029
62003,2012,general,president,658,177,470,0.2689969604863222,0.7142857142857143
62004,2012,general,president,521,174,335,0.33397312859884837,0.6429942418426103
62005,2012,general,president,719,169,543,0.23504867872044508,0.7552155771905424
62006,2012,general,president,701,254,441,0.362339514978602,0.6291012838801712
62007,2012,general,president,721,257,454,0.3564493758668516,0.6296809986130375
62008,2012,general,president,703,228,467,0.32432432432432434,0.6642958748221907
62009,2012,general,president,309,103,204,0.3333333333333333,0.6601941747572816
62010,2012,general,president,361,103,254,0.2853185595567867,0.703601108033241
62011,2012,general,president,697,175,514,0.25107604017216645,0.7374461979913917
62012,2012,general,president,635,239,391,0.3763779527559055,0.6157480314960629
62013,2012,general,president,654,264,382,0.4036697247706422,0.5840978593272171
62014,2012,general,president,594,239,347,0.40235690235690236,0.5841750841750841
62015,2012,general,president,651,275,366,0.42242703533026116,0.5622119815668203
62016,2012,general,president,613,287,311,0.46818923327895595,0.5073409461663948
62017,2012,general,president,643,203,433,0.3157076205287714,0.6734059097978227
62018,2012,general,president,658,229,416,0.34802431610942247,0.6322188449848024
62019,2012,general,president,692,187,499,0.2702312138728324,0.7210982658959537
62020,2012,general,president,645,201,442,0.3116279069767442,0.6852713178294574
62021,2012,general,president,590,138,446,0.23389830508474577,0.7559322033898305
62022,2012,general,president,659,195,459,0.2959028831562974,0.6965098634294385
62023,2012,general,president,652,188,459,0.2883435582822086,0.7039877300613497
62024,2012,general,president,612,263,339,0.4297385620915033,0.553921568627451
62025,2012,general,president,661,196,462,0.29652042360060515,0.6989409984871406
62026,2012,general,president,671,345,316,0.5141579731743666,0.47093889716840537
62027,2012,general,president,647,241,400,0.37248840803709427,0.6182380216383307
62028,2012,general,president,609,214,390,0.35139573070607555,0.6403940886699507
62029,2012,general,president,543,144,395,0.26519337016574585,0.7274401473296501
62030,2012,general,president,689,151,530,0.21915820029027577,0.7692307692307693
62031,2012,general,president,659,220,436,0.3338391502276176,0.661608497723824
62032,2012,general,president,660,189,465,0.2863636363636364,0.7045454545454546
62033,2012,general,president,663,165,494,0.248868778280543,0.7450980392156863
62034,2012,general,president,703,184,511,0.26173541963015645,0.7268847795163584
62035,2012,general,president,690,150,535,0.21739130434782608,0.7753623188405797
62036,2012,general,president,684,205,475,0.2997076023391813,0.6944444444444444
62037,2012,general,president,704,188,511,0.26704545454545453,0.7258522727272727
62038,2012,general,president,635,235,389,0.3700787401574803,0.6125984251968504
62039,2012,general,president,681,194,483,0.28487518355359764,0.7092511013215859
62040,2012,general,president,631,205,420,0.3248811410459588,0.6656101426307448
62041,2012,general,president,593,187,395,0.31534569983136596,0.6661045531197302
62042,2012,general,president,708,265,436,0.3742937853107345,0.615819209039548
62043,2012,general,president,666,231,432,0.34684684684684686,0.6486486486486487
62044,2012,general,president,659,240,410,0.36418816388467373,0.622154779969651
62045,2012,general,president,604,200,395,0.33112582781456956,0.6539735099337748
62046,2012,general,president,649,209,433,0.3220338983050847,0.6671802773497689
62047,2012,general,president,666,237,423,0.35585585585585583,0.6351351351351351
62048,2012,general,president,617,222,391,0.35980551053484605,0.6337115072933549
62049,2012,general,president,652,233,414,0.35736196319018404,0.6349693251533742
62050,2012,general,president,623,198,419,0.31781701444622795,0.6725521669341894
62051,2012,general,president,631,264,364,0.4183835182250396,0.5768621236133122
62052,2012,general,president,634,241,391,0.3801261829652997,0.6167192429022083
62053,2012,general,president,682,268,407,0.39296187683284456,0.5967741935483871
62054,2012,general,president,678,296,375,0.4365781710914454,0.5530973451327433
62055,2012,general,president,644,219,422,0.34006211180124224,0.65527950310559
62056,2012,general,president,607,218,382,0.35914332784184516,0.6293245469522241
62057,2012,general,president,583,195,381,0.3344768439108062,0.6535162950257289
62058,2012,general,president,659,213,442,0.3232169954476479,0.6707132018209409
62059,2012,general,president,520,210,306,0.40384615384615385,0.5884615384615385
62060,2012,general,president,358,116,237,0.3240223463687151,0.6620111731843575
62061,2012,general,president,458,200,251,0.4366812227074236,0.5480349344978166
62062,2012,general,president,439,165,269,0.37585421412300685,0.6127562642369021
62063,2012,general,president,336,157,177,0.46726190476190477,0.5267857142857143
62064,2012,general,president,344,117,221,0.34011627906976744,0.6424418604651163
62065,2012,general,president,756,195,555,0.25793650793650796,0.7341269841269841
62066,2012,general,president,724,214,505,0.2955801104972376,0.6975138121546961
62067,2012,general,president,686,260,414,0.37900874635568516,0.6034985422740525
62068,2012,general,president,661,257,393,0.3888048411497731,0.594553706505295
62069,2012,general,president,684,248,431,0.36257309941520466,0.6301169590643275
62070,2012,general,president,579,208,367,0.3592400690846287,0.6338514680483592
62071,2012,general,president,700,232,465,0.3314285714285714,0.6642857142857143
62072,2012,general,president,464,118,341,0.2543103448275862,0.7349137931034483
63001,2012,general,president,655,320,322,0.48854961832061067,0.4916030534351145
63002,2012,general,president,512,324,183,0.6328125,0.357421875
63003,2012,general,president,444,281,161,0.6328828828828829,0.36261261261261263
63004,2012,general,president,572,206,359,0.36013986013986016,0.6276223776223776
63005,2012,general,president,628,256,367,0.40764331210191085,0.5843949044585988
63006,2012,general,president,555,249,304,0.4486486486486487,0.5477477477477477
63007,2012,general,president,586,368,212,0.6279863481228669,0.36177474402730375
63008,2012,general,president,429,199,226,0.46386946386946387,0.5268065268065268
63009,2012,general,president,44,16,27,0.36363636363636365,0.6136363636363636
63010,2012,general,president,286,193,86,0.6748251748251748,0.3006993006993007
63011,2012,general,president,695,383,306,0.5510791366906475,0.44028776978417267
63012,2012,general,president,662,364,289,0.5498489425981873,0.43655589123867067
63013,2012,general,president,598,372,212,0.6220735785953178,0.35451505016722407
63014,2012,general,president,589,317,264,0.5382003395585738,0.44821731748726656
63015,2012,general,president,605,311,290,0.5140495867768595,0.4793388429752066
63016,2012,general,president,636,315,305,0.49528301886792453,0.47955974842767296
63017,2012,general,president,229,120,108,0.5240174672489083,0.47161572052401746
63018,2012,general,president,562,228,332,0.40569395017793597,0.5907473309608541
63019,2012,general,president,322,170,145,0.5279503105590062,0.4503105590062112
63020,2012,general,president,499,196,297,0.3927855711422846,0.5951903807615231
63021,2012,general,president,634,252,375,0.39747634069400634,0.5914826498422713
63022,2012,general,president,652,347,293,0.5322085889570553,0.4493865030674847
63023,2012,general,president,698,356,334,0.5100286532951289,0.4785100286532951
63024,2012,general,president,630,318,305,0.5047619047619047,0.48412698412698413
63025,2012,general,president,702,240,462,0.3418803418803419,0.6581196581196581
63026,2012,general,president,506,123,381,0.24308300395256918,0.7529644268774703
63027,2012,general,president,555,247,303,0.44504504504504505,0.5459459459459459
63028,2012,general,president,622,247,371,0.3971061093247588,0.5964630225080386
63029,2012,general,president,675,314,357,0.4651851851851852,0.5288888888888889
63030,2012,general,president,625,352,272,0.5632,0.4352
63031,2012,general,president,594,342,244,0.5757575757575758,0.4107744107744108
63032,2012,general,president,723,371,343,0.5131396957123098,0.47441217150760717
63033,2012,general,president,577,240,328,0.41594454072790293,0.5684575389948007
63034,2012,general,president,354,162,190,0.4576271186440678,0.536723163841808
63035,2012,general,president,471,180,279,0.3821656050955414,0.5923566878980892
63036,2012,general,president,668,307,350,0.4595808383233533,0.5239520958083832
63037,2012,general,president,674,488,179,0.7240356083086054,0.2655786350148368
63038,2012,general,president,628,484,136,0.7707006369426752,0.21656050955414013
63039,2012,general,president,639,529,99,0.8278560250391236,0.15492957746478872
63040,2012,general,president,443,378,61,0.8532731376975169,0.13769751693002258
63041,2012,general,president,397,382,13,0.9622166246851386,0.0327455919395466
63042,2012,general,president,611,596,15,0.9754500818330606,0.024549918166939442
63043,2012,general,president,676,629,44,0.9304733727810651,0.0650887573964497
63044,2012,general,president,401,368,33,0.9177057356608479,0.08229426433915212
63045,2012,general,president,529,503,23,0.9508506616257089,0.043478260869565216
63046,2012,general,president,701,481,213,0.6861626248216833,0.30385164051355207
63047,2012,general,president,680,274,396,0.40294117647058825,0.5823529411764706
63048,2012,general,president,603,151,442,0.2504145936981758,0.7330016583747927
63049,2012,general,president,630,207,416,0.32857142857142857,0.6603174603174603
63050,2012,general,president,680,333,340,0.48970588235294116,0.5
63051,2012,general,president,542,198,338,0.36531365313653136,0.6236162361623616
63052,2012,general,president,418,158,258,0.37799043062200954,0.6172248803827751
63053,2012,general,president,416,218,194,0.5240384615384616,0.46634615384615385
63054,2012,general,president,645,365,279,0.5658914728682171,0.4325581395348837
63055,2012,general,president,517,269,244,0.5203094777562862,0.47195357833655704
63056,2012,general,president,714,387,313,0.542016806722689,0.438375350140056
63057,2012,general,president,740,249,480,0.3364864864864865,0.6486486486486487
63058,2012,general,president,638,243,385,0.38087774294670845,0.603448275862069
63059,2012,general,president,696,310,378,0.4454022988505747,0.5431034482758621
63060,2012,general,president,665,337,311,0.5067669172932331,0.46766917293233085
63061,2012,general,president,570,298,260,0.5228070175438596,0.45614035087719296
63062,2012,general,president,694,312,368,0.4495677233429395,0.5302593659942363
63063,2012,general,president,643,259,375,0.40279937791601866,0.583203732503888
63064,2012,general,president,790,304,478,0.3848101265822785,0.6050632911392405
63065,2012,general,president,607,287,314,0.4728171334431631,0.5172981878088962
63066,2012,general,president,637,288,341,0.4521193092621664,0.5353218210361067
63067,2012,general,president,486,185,296,0.38065843621399176,0.6090534979423868
63068,2012,general,president,652,464,185,0.7116564417177914,0.2837423312883436
63069,2012,general,president,392,215,173,0.548469387755102,0.4413265306122449
63070,2012,general,president,339,158,179,0.46607669616519176,0.528023598820059
63071,2012,general,president,436,392,42,0.8990825688073395,0.0963302752293578
63072,2012,general,president,560,262,286,0.46785714285714286,0.5107142857142857
63073,2012,general,president,525,253,266,0.4819047619047619,0.5066666666666667
64001,2012,general,president,565,188,368,0.3327433628318584,0.6513274336283186
64002,2012,general,president,654,199,446,0.30428134556574926,0.6819571865443425
64003,2012,general,president,688,220,461,0.31976744186046513,0.6700581395348837
64004,2012,general,president,584,201,376,0.3441780821917808,0.6438356164383562
64005,2012,general,president,672,270,395,0.4017857142857143,0.5877976190476191
64006,2012,general,president,622,230,391,0.36977491961414793,0.6286173633440515
64007,2012,general,president,652,184,463,0.2822085889570552,0.7101226993865031
64008,2012,general,president,667,225,434,0.3373313343328336,0.6506746626686657
64009,2012,general,president,659,248,402,0.37632776934749623,0.6100151745068285
64010,2012,general,president,685,234,444,0.3416058394160584,0.6481751824817519
64011,2012,general,president,618,187,425,0.30258899676375406,0.6877022653721683
64012,2012,general,president,356,116,234,0.3258426966292135,0.6573033707865169
64013,2012,general,president,300,138,155,0.46,0.5166666666666667
64014,2012,general,president,562,223,333,0.39679715302491103,0.5925266903914591
64015,2012,general,president,643,192,448,0.2986003110419907,0.6967340590979783
64016,2012,general,president,704,240,455,0.3409090909090909,0.6463068181818182
64017,2012,general,president,676,255,407,0.3772189349112426,0.6020710059171598
64018,2012,general,president,541,236,296,0.43622920517560076,0.5471349353049908
64019,2012,general,president,569,367,198,0.6449912126537786,0.34797891036906853
64020,2012,general,president,536,237,296,0.44216417910447764,0.5522388059701493
64021,2012,general,president,419,186,228,0.4439140811455847,0.5441527446300716
64022,2012,general,president,623,258,354,0.41412520064205455,0.5682182985553772
64023,2012,general,president,635,252,368,0.3968503937007874,0.5795275590551181
64024,2012,general,president,494,214,273,0.4331983805668016,0.5526315789473685
64025,2012,general,president,445,207,236,0.4651685393258427,0.5303370786516854
64026,2012,general,president,609,247,357,0.40558292282430214,0.5862068965517241
64027,2012,general,president,393,161,228,0.40966921119592875,0.5801526717557252
64028,2012,general,president,360,164,189,0.45555555555555555,0.525
64029,2012,general,president,524,226,287,0.4312977099236641,0.5477099236641222
64030,2012,general,president,433,185,244,0.42725173210161665,0.5635103926096998
64031,2012,general,president,538,262,275,0.48698884758364314,0.5111524163568774
64032,2012,general,president,588,277,306,0.4710884353741497,0.5204081632653061
64033,2012,general,president,526,198,323,0.376425855513308,0.6140684410646388
64034,2012,general,president,558,266,286,0.4767025089605735,0.5125448028673835
64035,2012,general,president,669,254,408,0.3796711509715994,0.6098654708520179
64036,2012,general,president,647,304,333,0.46986089644513135,0.5146831530139103
64037,2012,general,president,459,171,284,0.37254901960784315,0.6187363834422658
64038,2012,general,president,409,223,182,0.5452322738386308,0.4449877750611247
64039,2012,general,president,541,238,295,0.4399260628465804,0.5452865064695009
64040,2012,general,president,598,431,165,0.7207357859531772,0.27591973244147155
64041,2012,general,president,554,268,281,0.48375451263537905,0.5072202166064982
64042,2012,general,president,499,289,199,0.5791583166332666,0.39879759519038077
64043,2012,general,president,421,233,184,0.5534441805225653,0.43705463182897863
64044,2012,general,president,595,316,274,0.5310924369747899,0.46050420168067224
64045,2012,general,president,343,178,160,0.5189504373177842,0.46647230320699706
64046,2012,general,president,379,218,156,0.575197889182058,0.41160949868073876
64047,2012,general,president,434,229,200,0.5276497695852534,0.4608294930875576
64048,2012,general,president,2,0,2,0,1
64049,2012,general,president,656,387,258,0.5899390243902439,0.3932926829268293
64050,2012,general,president,676,402,264,0.5946745562130178,0.3905325443786982
64051,2012,general,president,629,422,196,0.670906200317965,0.31160572337042924
64052,2012,general,president,589,306,281,0.5195246179966044,0.4770797962648557
64053,2012,general,president,516,295,216,0.5717054263565892,0.4186046511627907
