elect_dist,year,type,office,total_votes,mcmahon_tot,straniere_tot,mcmahon_prop,straniere_prop
60011,2008,general,congress,477,195,249,0.4088050314465409,0.5220125786163522
60012,2008,general,congress,405,141,223,0.34814814814814815,0.5506172839506173
60013,2008,general,congress,494,206,243,0.41700404858299595,0.49190283400809715
60014,2008,general,congress,447,238,175,0.5324384787472036,0.39149888143176736
60015,2008,general,congress,520,259,210,0.4980769230769231,0.40384615384615385
60016,2008,general,congress,646,263,325,0.4071207430340557,0.5030959752321982
60017,2008,general,congress,520,231,250,0.4442307692307692,0.4807692307692308
60018,2008,general,congress,520,192,297,0.36923076923076925,0.5711538461538461
60019,2008,general,congress,367,295,50,0.8038147138964578,0.1362397820163488
60020,2008,general,congress,443,201,205,0.45372460496614,0.46275395033860045
60021,2008,general,congress,570,239,287,0.4192982456140351,0.5035087719298246
60022,2008,general,congress,491,165,288,0.3360488798370672,0.5865580448065173
60023,2008,general,congress,335,128,173,0.382089552238806,0.5164179104477612
60024,2008,general,congress,458,166,262,0.3624454148471616,0.5720524017467249
60025,2008,general,congress,518,187,298,0.361003861003861,0.5752895752895753
60026,2008,general,congress,354,144,182,0.4067796610169492,0.5141242937853108
60027,2008,general,congress,333,121,183,0.3633633633633634,0.5495495495495496
60028,2008,general,congress,476,201,235,0.4222689075630252,0.49369747899159666
60029,2008,general,congress,369,147,185,0.3983739837398374,0.5013550135501355
60030,2008,general,congress,483,185,265,0.3830227743271222,0.5486542443064182
60031,2008,general,congress,517,189,293,0.3655705996131528,0.5667311411992263
60032,2008,general,congress,325,129,175,0.39692307692307693,0.5384615384615384
60033,2008,general,congress,484,184,263,0.38016528925619836,0.5433884297520661
60034,2008,general,congress,604,208,341,0.3443708609271523,0.5645695364238411
60035,2008,general,congress,471,187,231,0.3970276008492569,0.49044585987261147
60036,2008,general,congress,499,236,225,0.4729458917835671,0.45090180360721444
60037,2008,general,congress,503,190,252,0.37773359840954274,0.5009940357852882
60038,2008,general,congress,537,191,300,0.35567970204841715,0.5586592178770949
60039,2008,general,congress,577,236,283,0.4090121317157712,0.4904679376083189
60040,2008,general,congress,408,139,238,0.34068627450980393,0.5833333333333334
60041,2008,general,congress,517,212,255,0.41005802707930367,0.4932301740812379
60042,2008,general,congress,469,184,239,0.39232409381663114,0.509594882729211
60043,2008,general,congress,416,149,216,0.3581730769230769,0.5192307692307693
60044,2008,general,congress,474,192,248,0.4050632911392405,0.5232067510548524
60045,2008,general,congress,273,76,169,0.2783882783882784,0.6190476190476191
60046,2008,general,congress,469,156,171,0.3326226012793177,0.3646055437100213
60047,2008,general,congress,158,41,105,0.25949367088607594,0.6645569620253164
60048,2008,general,congress,378,105,233,0.2777777777777778,0.6164021164021164
60049,2008,general,congress,962,360,520,0.37422037422037424,0.5405405405405406
60051,2008,general,congress,1013,347,582,0.3425468904244817,0.5745310957551826
60053,2008,general,congress,388,94,269,0.2422680412371134,0.6932989690721649
60054,2008,general,congress,457,130,275,0.2844638949671772,0.6017505470459519
60055,2008,general,congress,548,175,311,0.3193430656934307,0.5675182481751825
60056,2008,general,congress,500,168,293,0.336,0.586
60057,2008,general,congress,491,181,270,0.36863543788187375,0.5498981670061099
60058,2008,general,congress,545,130,368,0.23853211009174313,0.6752293577981652
60059,2008,general,congress,531,183,303,0.3446327683615819,0.5706214689265536
60060,2008,general,congress,530,189,286,0.35660377358490564,0.539622641509434
60061,2008,general,congress,560,158,348,0.28214285714285714,0.6214285714285714
60063,2008,general,congress,1062,336,626,0.3163841807909605,0.5894538606403014
61001,2008,general,congress,625,464,110,0.7424,0.176
61003,2008,general,congress,679,611,41,0.8998527245949927,0.060382916053019146
61004,2008,general,congress,1323,1216,62,0.9191232048374905,0.04686318972033258
61005,2008,general,congress,635,588,14,0.925984251968504,0.02204724409448819
61012,2008,general,congress,912,578,283,0.6337719298245614,0.31030701754385964
61007,2008,general,congress,489,408,59,0.8343558282208589,0.12065439672801637
61008,2008,general,congress,650,594,28,0.9138461538461539,0.043076923076923075
61016,2008,general,congress,1636,1292,210,0.7897310513447433,0.12836185819070906
61011,2008,general,congress,539,403,99,0.7476808905380334,0.1836734693877551
61013,2008,general,congress,516,386,96,0.748062015503876,0.18604651162790697
61014,2008,general,congress,132,82,39,0.6212121212121212,0.29545454545454547
61015,2008,general,congress,333,224,84,0.6726726726726727,0.25225225225225223
61018,2008,general,congress,890,768,68,0.8629213483146068,0.07640449438202247
61020,2008,general,congress,607,466,87,0.7677100494233937,0.14332784184514002
61021,2008,general,congress,559,468,60,0.8372093023255814,0.1073345259391771
61022,2008,general,congress,466,366,68,0.7854077253218884,0.1459227467811159
61023,2008,general,congress,603,522,28,0.8656716417910447,0.04643449419568822
61024,2008,general,congress,355,268,70,0.7549295774647887,0.19718309859154928
61025,2008,general,congress,409,252,125,0.6161369193154034,0.3056234718826406
61026,2008,general,congress,421,279,121,0.66270783847981,0.28741092636579574
61028,2008,general,congress,496,396,74,0.7983870967741935,0.14919354838709678
61029,2008,general,congress,513,421,65,0.8206627680311891,0.1267056530214425
61030,2008,general,congress,487,440,14,0.9034907597535934,0.028747433264887063
61031,2008,general,congress,642,460,121,0.7165109034267912,0.18847352024922118
61033,2008,general,congress,211,143,49,0.6777251184834123,0.23222748815165878
61034,2008,general,congress,264,190,50,0.7196969696969697,0.1893939393939394
61035,2008,general,congress,553,269,226,0.4864376130198915,0.40867992766726946
61036,2008,general,congress,539,254,235,0.4712430426716141,0.4359925788497217
61037,2008,general,congress,568,270,252,0.4753521126760563,0.44366197183098594
61038,2008,general,congress,336,127,165,0.37797619047619047,0.49107142857142855
61039,2008,general,congress,542,223,267,0.4114391143911439,0.492619926199262
61040,2008,general,congress,647,247,337,0.38176197836166925,0.5208655332302936
61041,2008,general,congress,401,222,133,0.5536159600997507,0.3316708229426434
61042,2008,general,congress,542,286,213,0.5276752767527675,0.3929889298892989
61043,2008,general,congress,481,296,139,0.6153846153846154,0.288981288981289
61044,2008,general,congress,394,315,47,0.799492385786802,0.11928934010152284
61045,2008,general,congress,580,403,142,0.6948275862068966,0.24482758620689654
61046,2008,general,congress,532,257,220,0.4830827067669173,0.41353383458646614
61047,2008,general,congress,476,179,245,0.3760504201680672,0.5147058823529411
61048,2008,general,congress,477,200,222,0.4192872117400419,0.46540880503144655
61049,2008,general,congress,563,390,128,0.6927175843694494,0.22735346358792186
61050,2008,general,congress,503,407,62,0.8091451292246521,0.12326043737574553
61051,2008,general,congress,559,518,22,0.9266547406082289,0.03935599284436494
61052,2008,general,congress,295,270,13,0.9152542372881356,0.04406779661016949
61053,2008,general,congress,449,290,122,0.6458797327394209,0.2717149220489978
61054,2008,general,congress,1028,415,511,0.4036964980544747,0.4970817120622568
61056,2008,general,congress,537,208,281,0.38733705772811916,0.5232774674115456
61057,2008,general,congress,575,194,313,0.3373913043478261,0.5443478260869565
61058,2008,general,congress,420,150,225,0.35714285714285715,0.5357142857142857
61059,2008,general,congress,540,197,287,0.3648148148148148,0.5314814814814814
61060,2008,general,congress,590,207,324,0.35084745762711866,0.5491525423728814
61061,2008,general,congress,523,219,258,0.4187380497131931,0.4933078393881453
61062,2008,general,congress,490,183,259,0.373469387755102,0.5285714285714286
61063,2008,general,congress,564,200,291,0.3546099290780142,0.5159574468085106
61064,2008,general,congress,353,190,122,0.5382436260623229,0.34560906515580736
61065,2008,general,congress,647,413,165,0.6383307573415765,0.2550231839258114
61066,2008,general,congress,522,248,220,0.47509578544061304,0.421455938697318
61067,2008,general,congress,456,329,95,0.7214912280701754,0.20833333333333334
61068,2008,general,congress,572,476,55,0.8321678321678322,0.09615384615384616
61069,2008,general,congress,521,449,45,0.8618042226487524,0.08637236084452975
61070,2008,general,congress,494,342,113,0.6923076923076923,0.22874493927125505
61071,2008,general,congress,477,241,188,0.5052410901467506,0.3941299790356394
61073,2008,general,congress,1042,374,586,0.35892514395393477,0.5623800383877159
61074,2008,general,congress,477,197,250,0.4129979035639413,0.5241090146750524
61075,2008,general,congress,568,185,334,0.3257042253521127,0.5880281690140845
61076,2008,general,congress,323,118,181,0.3653250773993808,0.5603715170278638
61077,2008,general,congress,509,172,300,0.3379174852652259,0.5893909626719057
61078,2008,general,congress,411,227,141,0.5523114355231143,0.34306569343065696
61079,2008,general,congress,537,385,115,0.7169459962756052,0.21415270018621974
61080,2008,general,congress,613,466,101,0.7601957585644372,0.16476345840130505
61081,2008,general,congress,589,404,142,0.6859083191850595,0.24108658743633277
61082,2008,general,congress,455,261,167,0.5736263736263736,0.367032967032967
61083,2008,general,congress,184,88,85,0.4782608695652174,0.46195652173913043
61085,2008,general,congress,1049,426,522,0.40610104861773116,0.49761677788369874
61086,2008,general,congress,686,451,186,0.6574344023323615,0.27113702623906705
61087,2008,general,congress,598,450,120,0.7525083612040134,0.20066889632107024
61092,2008,general,congress,509,392,86,0.7701375245579568,0.16895874263261296
61089,2008,general,congress,600,541,37,0.9016666666666666,0.06166666666666667
61090,2008,general,congress,516,477,15,0.9244186046511628,0.029069767441860465
61091,2008,general,congress,493,408,55,0.8275862068965517,0.11156186612576065
61095,2008,general,congress,235,150,71,0.6382978723404256,0.3021276595744681
62001,2008,general,congress,329,108,195,0.3282674772036474,0.5927051671732523
62002,2008,general,congress,584,178,369,0.3047945205479452,0.6318493150684932
62003,2008,general,congress,433,166,241,0.3833718244803695,0.5565819861431871
62004,2008,general,congress,510,211,259,0.4137254901960784,0.5078431372549019
62005,2008,general,congress,384,137,210,0.3567708333333333,0.546875
62006,2008,general,congress,475,147,296,0.3094736842105263,0.6231578947368421
62007,2008,general,congress,452,149,263,0.32964601769911506,0.581858407079646
62008,2008,general,congress,402,137,230,0.3407960199004975,0.572139303482587
62009,2008,general,congress,477,166,267,0.3480083857442348,0.559748427672956
62010,2008,general,congress,418,167,214,0.39952153110047844,0.5119617224880383
62011,2008,general,congress,521,166,299,0.31861804222648754,0.5738963531669866
62012,2008,general,congress,495,148,302,0.298989898989899,0.6101010101010101
62013,2008,general,congress,316,101,188,0.31962025316455694,0.5949367088607594
62014,2008,general,congress,382,131,223,0.34293193717277487,0.5837696335078534
62015,2008,general,congress,446,112,305,0.25112107623318386,0.6838565022421524
62016,2008,general,congress,332,114,194,0.3433734939759036,0.5843373493975904
62017,2008,general,congress,330,104,198,0.3151515151515151,0.6
62018,2008,general,congress,373,129,212,0.34584450402144773,0.5683646112600537
62019,2008,general,congress,2709,941,1534,0.3473606496862311,0.5662606127722407
62020,2008,general,congress,398,126,244,0.3165829145728643,0.6130653266331658
62021,2008,general,congress,471,130,311,0.2760084925690021,0.6602972399150743
62023,2008,general,congress,537,139,349,0.25884543761638734,0.6499068901303539
62026,2008,general,congress,546,190,318,0.34798534798534797,0.5824175824175825
62027,2008,general,congress,547,170,311,0.31078610603290674,0.5685557586837294
62036,2008,general,congress,888,299,495,0.3367117117117117,0.5574324324324325
62030,2008,general,congress,310,97,192,0.31290322580645163,0.6193548387096774
62031,2008,general,congress,984,357,532,0.3628048780487805,0.540650406504065
62032,2008,general,congress,523,173,312,0.33078393881453155,0.5965583173996176
62033,2008,general,congress,516,166,311,0.32170542635658916,0.6027131782945736
62035,2008,general,congress,436,118,283,0.2706422018348624,0.6490825688073395
62037,2008,general,congress,1013,328,599,0.32379072063178677,0.5913129318854886
62038,2008,general,congress,570,193,323,0.3385964912280702,0.5666666666666667
62039,2008,general,congress,494,141,293,0.28542510121457487,0.5931174089068826
62040,2008,general,congress,500,147,301,0.294,0.602
62041,2008,general,congress,1078,290,685,0.2690166975881262,0.6354359925788498
62042,2008,general,congress,521,147,329,0.2821497120921305,0.6314779270633397
62043,2008,general,congress,524,168,311,0.32061068702290074,0.5935114503816794
62044,2008,general,congress,494,155,306,0.31376518218623484,0.6194331983805668
62045,2008,general,congress,489,124,331,0.25357873210633947,0.6768916155419223
62047,2008,general,congress,462,142,285,0.30735930735930733,0.6168831168831169
62048,2008,general,congress,521,160,303,0.30710172744721687,0.581573896353167
62049,2008,general,congress,554,155,365,0.27978339350180503,0.6588447653429603
62050,2008,general,congress,531,155,326,0.2919020715630885,0.6139359698681732
62053,2008,general,congress,639,152,401,0.2378716744913928,0.6275430359937402
62054,2008,general,congress,621,204,359,0.3285024154589372,0.5780998389694042
62055,2008,general,congress,491,139,305,0.2830957230142566,0.6211812627291242
62056,2008,general,congress,504,146,307,0.2896825396825397,0.6091269841269841
62057,2008,general,congress,532,159,322,0.29887218045112784,0.6052631578947368
62058,2008,general,congress,583,217,325,0.37221269296740994,0.5574614065180102
62059,2008,general,congress,518,177,316,0.3416988416988417,0.61003861003861
62060,2008,general,congress,439,123,278,0.28018223234624146,0.6332574031890661
62064,2008,general,congress,1040,287,656,0.2759615384615385,0.6307692307692307
62095,2008,general,congress,1072,293,689,0.2733208955223881,0.6427238805970149
62063,2008,general,congress,1108,304,739,0.2743682310469314,0.6669675090252708
62065,2008,general,congress,494,121,328,0.24493927125506074,0.6639676113360324
62066,2008,general,congress,528,165,328,0.3125,0.6212121212121212
62067,2008,general,congress,525,140,349,0.26666666666666666,0.6647619047619048
62069,2008,general,congress,546,136,360,0.2490842490842491,0.6593406593406593
62070,2008,general,congress,557,166,348,0.2980251346499102,0.6247755834829444
62071,2008,general,congress,505,118,352,0.23366336633663368,0.697029702970297
62072,2008,general,congress,1034,325,645,0.31431334622823986,0.6237911025145068
62074,2008,general,congress,426,189,205,0.44366197183098594,0.4812206572769953
62075,2008,general,congress,487,230,221,0.4722792607802875,0.4537987679671458
62076,2008,general,congress,592,182,364,0.30743243243243246,0.6148648648648649
62077,2008,general,congress,530,177,318,0.3339622641509434,0.6
62078,2008,general,congress,488,127,317,0.26024590163934425,0.6495901639344263
62080,2008,general,congress,1821,546,1148,0.29983525535420097,0.6304228445908842
62081,2008,general,congress,442,104,291,0.23529411764705882,0.6583710407239819
62082,2008,general,congress,644,199,392,0.3090062111801242,0.6086956521739131
62083,2008,general,congress,513,161,310,0.3138401559454191,0.6042884990253411
62084,2008,general,congress,502,113,345,0.2250996015936255,0.6872509960159362
62085,2008,general,congress,382,108,250,0.28272251308900526,0.6544502617801047
62086,2008,general,congress,823,273,488,0.33171324422843257,0.5929526123936817
62088,2008,general,congress,480,192,267,0.4,0.55625
62089,2008,general,congress,595,203,359,0.3411764705882353,0.6033613445378151
62090,2008,general,congress,353,99,232,0.2804532577903683,0.6572237960339944
62091,2008,general,congress,398,88,273,0.22110552763819097,0.6859296482412061
62092,2008,general,congress,519,151,336,0.2909441233140655,0.6473988439306358
62093,2008,general,congress,561,166,337,0.29590017825311943,0.6007130124777184
62094,2008,general,congress,536,136,349,0.2537313432835821,0.6511194029850746
62096,2008,general,congress,445,134,281,0.30112359550561796,0.6314606741573033
62097,2008,general,congress,376,86,271,0.22872340425531915,0.7207446808510638
62098,2008,general,congress,454,151,253,0.33259911894273125,0.5572687224669604
62099,2008,general,congress,553,183,318,0.3309222423146474,0.5750452079566004
62100,2008,general,congress,503,140,320,0.2783300198807157,0.6361829025844931
62101,2008,general,congress,401,103,265,0.256857855361596,0.6608478802992519
63001,2008,general,congress,466,206,224,0.44206008583690987,0.48068669527896996
63002,2008,general,congress,519,299,179,0.5761078998073218,0.3448940269749518
63003,2008,general,congress,470,199,239,0.42340425531914894,0.5085106382978724
63004,2008,general,congress,401,225,132,0.5610972568578554,0.32917705735660846
63005,2008,general,congress,369,281,65,0.7615176151761518,0.17615176151761516
