elect_dist,year,type,office,total_votes,clinton_prop,sanders_prop,clinton_tot,sanders_tot
41080,2016,dem primary,pres,17,0.5294117647058824,0.47058823529411764,9,8
45008,2016,dem primary,pres,74,0.6621621621621622,0.33783783783783783,49,25
45009,2016,dem primary,pres,74,0.6486486486486487,0.35135135135135137,48,26
45010,2016,dem primary,pres,39,0.7948717948717948,0.20512820512820512,31,8
45011,2016,dem primary,pres,114,0.49122807017543857,0.5087719298245614,56,58
45013,2016,dem primary,pres,109,0.45871559633027525,0.5412844036697247,50,59
45014,2016,dem primary,pres,125,0.48,0.52,60,65
45015,2016,dem primary,pres,21,0.8095238095238095,0.19047619047619047,17,4
45016,2016,dem primary,pres,127,0.6377952755905512,0.36220472440944884,81,46
45017,2016,dem primary,pres,58,0.46551724137931033,0.5344827586206896,27,31
45019,2016,dem primary,pres,85,0.4823529411764706,0.5176470588235295,41,44
45020,2016,dem primary,pres,41,0.7804878048780488,0.21951219512195122,32,9
45021,2016,dem primary,pres,55,0.6909090909090909,0.3090909090909091,38,17
45022,2016,dem primary,pres,58,0.46551724137931033,0.5344827586206896,27,31
45023,2016,dem primary,pres,95,0.5789473684210527,0.42105263157894735,55,40
45026,2016,dem primary,pres,68,0.47058823529411764,0.5294117647058824,32,36
45027,2016,dem primary,pres,90,0.4888888888888889,0.5111111111111111,44,46
45028,2016,dem primary,pres,74,0.47297297297297297,0.527027027027027,35,39
45029,2016,dem primary,pres,46,0.5652173913043478,0.43478260869565216,26,20
45030,2016,dem primary,pres,118,0.5338983050847458,0.4661016949152542,63,55
45031,2016,dem primary,pres,53,0.6226415094339622,0.37735849056603776,33,20
45032,2016,dem primary,pres,47,0.6170212765957447,0.3829787234042553,29,18
45033,2016,dem primary,pres,86,0.3953488372093023,0.6046511627906976,34,52
45034,2016,dem primary,pres,96,0.5625,0.4375,54,42
45035,2016,dem primary,pres,58,0.7068965517241379,0.29310344827586204,41,17
45036,2016,dem primary,pres,52,0.6346153846153846,0.36538461538461536,33,19
45037,2016,dem primary,pres,53,0.5283018867924528,0.4716981132075472,28,25
45038,2016,dem primary,pres,57,0.40350877192982454,0.5964912280701754,23,34
45040,2016,dem primary,pres,93,0.4731182795698925,0.5268817204301075,44,49
45041,2016,dem primary,pres,26,0.34615384615384615,0.6538461538461539,9,17
45042,2016,dem primary,pres,82,0.47560975609756095,0.524390243902439,39,43
45043,2016,dem primary,pres,107,0.45794392523364486,0.5420560747663551,49,58
45044,2016,dem primary,pres,23,0.5217391304347826,0.4782608695652174,12,11
45045,2016,dem primary,pres,135,0.562962962962963,0.43703703703703706,76,59
45046,2016,dem primary,pres,228,0.5745614035087719,0.42543859649122806,131,97
45047,2016,dem primary,pres,13,0.3076923076923077,0.6923076923076923,4,9
45048,2016,dem primary,pres,140,0.5214285714285715,0.4785714285714286,73,67
45057,2016,dem primary,pres,110,0.509090909090909,0.4909090909090909,56,54
45071,2016,dem primary,pres,48,0.3541666666666667,0.6458333333333334,17,31
46031,2016,dem primary,pres,172,0.38953488372093026,0.6104651162790697,67,105
46034,2016,dem primary,pres,87,0.45977011494252873,0.5402298850574713,40,47
46035,2016,dem primary,pres,65,0.3076923076923077,0.6923076923076923,20,45
46036,2016,dem primary,pres,137,0.41605839416058393,0.583941605839416,57,80
46037,2016,dem primary,pres,0,NaN,NaN,0,0
46038,2016,dem primary,pres,106,0.5566037735849056,0.44339622641509435,59,47
46039,2016,dem primary,pres,104,0.49038461538461536,0.5096153846153846,51,53
46040,2016,dem primary,pres,55,0.4,0.6,22,33
46041,2016,dem primary,pres,193,0.5803108808290155,0.41968911917098445,112,81
46042,2016,dem primary,pres,58,0.5172413793103449,0.4827586206896552,30,28
46047,2016,dem primary,pres,90,0.4888888888888889,0.5111111111111111,44,46
46048,2016,dem primary,pres,161,0.453416149068323,0.546583850931677,73,88
46049,2016,dem primary,pres,188,0.4574468085106383,0.5425531914893617,86,102
46050,2016,dem primary,pres,172,0.47674418604651164,0.5232558139534884,82,90
46051,2016,dem primary,pres,171,0.5672514619883041,0.4327485380116959,97,74
46052,2016,dem primary,pres,177,0.4519774011299435,0.5480225988700564,80,97
46053,2016,dem primary,pres,171,0.4502923976608187,0.5497076023391813,77,94
46054,2016,dem primary,pres,135,0.48148148148148145,0.5185185185185185,65,70
46055,2016,dem primary,pres,210,0.41904761904761906,0.580952380952381,88,122
46056,2016,dem primary,pres,181,0.4143646408839779,0.585635359116022,75,106
46057,2016,dem primary,pres,169,0.4970414201183432,0.5029585798816568,84,85
46058,2016,dem primary,pres,203,0.4088669950738916,0.5911330049261084,83,120
46059,2016,dem primary,pres,167,0.3532934131736527,0.6467065868263473,59,108
46060,2016,dem primary,pres,233,0.47639484978540775,0.5236051502145923,111,122
46061,2016,dem primary,pres,163,0.44785276073619634,0.5521472392638037,73,90
