elect_dist,year,type,office,total_votes,murphy_tot,grimm_tot,murphy_prop,grimm_prop
62053,2012,general,congressional,652,197,451,0.30214723926380366,0.691717791411043
62054,2012,general,congressional,643,232,409,0.3608087091757387,0.6360808709175739
62055,2012,general,congressional,617,163,452,0.26418152350081037,0.7325769854132901
62056,2012,general,congressional,574,170,398,0.2961672473867596,0.6933797909407665
62057,2012,general,congressional,559,140,417,0.2504472271914132,0.7459749552772809
62058,2012,general,congressional,635,155,475,0.2440944881889764,0.7480314960629921
62059,2012,general,congressional,499,153,344,0.3066132264529058,0.6893787575150301
62060,2012,general,congressional,340,91,246,0.2676470588235294,0.7235294117647059
62061,2012,general,congressional,434,147,282,0.3387096774193548,0.6497695852534562
62062,2012,general,congressional,423,120,300,0.28368794326241137,0.7092198581560284
62063,2012,general,congressional,315,130,183,0.4126984126984127,0.580952380952381
62064,2012,general,congressional,334,100,231,0.2994011976047904,0.6916167664670658
62065,2012,general,congressional,738,156,573,0.21138211382113822,0.7764227642276422
62066,2012,general,congressional,694,184,502,0.26512968299711814,0.723342939481268
62067,2012,general,congressional,663,202,456,0.3046757164404223,0.6877828054298643
62068,2012,general,congressional,633,203,424,0.320695102685624,0.669826224328594
62069,2012,general,congressional,658,205,446,0.31155015197568386,0.6778115501519757
62070,2012,general,congressional,558,168,385,0.3010752688172043,0.6899641577060932
62071,2012,general,congressional,681,176,501,0.25844346549192365,0.73568281938326
62072,2012,general,congressional,447,111,334,0.24832214765100671,0.7472035794183445
62073,2012,general,congressional,0,0,0,NaN,NaN
62074,2012,general,congressional,0,0,0,NaN,NaN
63001,2012,general,congressional,624,254,366,0.40705128205128205,0.5865384615384616
63002,2012,general,congressional,483,255,228,0.5279503105590062,0.4720496894409938
63003,2012,general,congressional,424,238,184,0.5613207547169812,0.4339622641509434
63004,2012,general,congressional,554,177,375,0.3194945848375451,0.6768953068592057
63005,2012,general,congressional,606,194,408,0.3201320132013201,0.6732673267326733
63006,2012,general,congressional,540,198,334,0.36666666666666664,0.6185185185185185
63007,2012,general,congressional,557,308,246,0.5529622980251346,0.44165170556552963
63008,2012,general,congressional,402,143,257,0.35572139303482586,0.6393034825870647
63009,2012,general,congressional,41,11,30,0.2682926829268293,0.7317073170731707
63010,2012,general,congressional,274,176,95,0.6423357664233577,0.3467153284671533
63011,2012,general,congressional,657,316,337,0.4809741248097412,0.512937595129376
63012,2012,general,congressional,634,306,325,0.48264984227129337,0.5126182965299685
63013,2012,general,congressional,569,304,261,0.5342706502636204,0.45869947275922673
63014,2012,general,congressional,560,261,292,0.4660714285714286,0.5214285714285715
63015,2012,general,congressional,582,265,313,0.45532646048109965,0.5378006872852233
63016,2012,general,congressional,595,254,335,0.426890756302521,0.5630252100840336
63017,2012,general,congressional,212,108,101,0.5094339622641509,0.47641509433962265
63018,2012,general,congressional,532,165,363,0.3101503759398496,0.6823308270676691
63019,2012,general,congressional,299,131,167,0.43812709030100333,0.5585284280936454
63020,2012,general,congressional,468,173,292,0.3696581196581197,0.6239316239316239
63021,2012,general,congressional,612,199,410,0.32516339869281047,0.6699346405228758
63022,2012,general,congressional,615,284,326,0.46178861788617886,0.5300813008130081
63023,2012,general,congressional,673,261,406,0.38781575037147104,0.6032689450222882
63024,2012,general,congressional,604,265,333,0.43874172185430466,0.5513245033112583
63025,2012,general,congressional,664,195,465,0.2936746987951807,0.7003012048192772
63026,2012,general,congressional,484,113,368,0.2334710743801653,0.7603305785123967
63027,2012,general,congressional,529,203,321,0.3837429111531191,0.6068052930056711
63028,2012,general,congressional,595,206,383,0.346218487394958,0.6436974789915967
63029,2012,general,congressional,656,258,396,0.3932926829268293,0.6036585365853658
63030,2012,general,congressional,601,277,321,0.46089850249584025,0.5341098169717138
63031,2012,general,congressional,562,274,283,0.4875444839857651,0.50355871886121
63032,2012,general,congressional,688,293,387,0.4258720930232558,0.5625
63033,2012,general,congressional,556,178,375,0.32014388489208634,0.6744604316546763
63034,2012,general,congressional,335,132,203,0.3940298507462687,0.6059701492537314
63035,2012,general,congressional,455,155,294,0.34065934065934067,0.6461538461538462
63036,2012,general,congressional,652,277,370,0.42484662576687116,0.5674846625766872
63037,2012,general,congressional,641,424,213,0.6614664586583463,0.33229329173166927
63038,2012,general,congressional,576,409,161,0.7100694444444444,0.2795138888888889
63039,2012,general,congressional,594,458,131,0.7710437710437711,0.22053872053872053
63040,2012,general,congressional,416,329,84,0.7908653846153846,0.20192307692307693
63041,2012,general,congressional,366,340,24,0.9289617486338798,0.06557377049180328
63042,2012,general,congressional,573,555,17,0.9685863874345549,0.029668411867364748
63043,2012,general,congressional,625,565,56,0.904,0.0896
63044,2012,general,congressional,376,330,45,0.8776595744680851,0.1196808510638298
63045,2012,general,congressional,495,460,33,0.9292929292929293,0.06666666666666667
63046,2012,general,congressional,633,380,247,0.6003159557661928,0.3902053712480253
63047,2012,general,congressional,649,231,408,0.3559322033898305,0.6286594761171033
63048,2012,general,congressional,582,169,412,0.29037800687285226,0.7079037800687286
63049,2012,general,congressional,611,171,438,0.27986906710310966,0.7168576104746317
63050,2012,general,congressional,626,265,356,0.4233226837060703,0.5686900958466453
63051,2012,general,congressional,522,187,332,0.35823754789272033,0.6360153256704981
63052,2012,general,congressional,403,146,256,0.36228287841191065,0.6352357320099256
63053,2012,general,congressional,392,171,218,0.4362244897959184,0.5561224489795918
63054,2012,general,congressional,610,307,299,0.5032786885245901,0.4901639344262295
63055,2012,general,congressional,480,216,263,0.45,0.5479166666666667
63056,2012,general,congressional,672,338,330,0.5029761904761905,0.49107142857142855
63057,2012,general,congressional,681,205,468,0.3010279001468429,0.6872246696035242
63058,2012,general,congressional,608,201,401,0.3305921052631579,0.6595394736842105
63059,2012,general,congressional,666,259,396,0.3888888888888889,0.5945945945945946
63060,2012,general,congressional,632,269,353,0.42563291139240506,0.5585443037974683
63061,2012,general,congressional,545,265,267,0.48623853211009177,0.48990825688073397
63062,2012,general,congressional,674,287,383,0.4258160237388724,0.5682492581602374
63063,2012,general,congressional,615,217,395,0.35284552845528455,0.6422764227642277
63064,2012,general,congressional,763,258,496,0.3381389252948886,0.6500655307994757
63065,2012,general,congressional,586,250,331,0.42662116040955633,0.5648464163822525
63066,2012,general,congressional,602,233,362,0.38704318936877075,0.6013289036544851
63067,2012,general,congressional,461,170,288,0.368763557483731,0.6247288503253796
63068,2012,general,congressional,612,397,213,0.6486928104575164,0.3480392156862745
63069,2012,general,congressional,372,181,187,0.48655913978494625,0.5026881720430108
63070,2012,general,congressional,323,130,193,0.4024767801857585,0.5975232198142415
63071,2012,general,congressional,395,336,57,0.850632911392405,0.14430379746835442
63072,2012,general,congressional,529,214,306,0.4045368620037807,0.5784499054820416
63073,2012,general,congressional,496,199,292,0.4012096774193548,0.5887096774193549
63074,2012,general,congressional,0,0,0,NaN,NaN
63075,2012,general,congressional,0,0,0,NaN,NaN
63076,2012,general,congressional,0,0,0,NaN,NaN
63077,2012,general,congressional,0,0,0,NaN,NaN
64001,2012,general,congressional,516,149,363,0.28875968992248063,0.7034883720930233
64002,2012,general,congressional,634,163,464,0.25709779179810727,0.7318611987381703
64003,2012,general,congressional,676,179,489,0.26479289940828404,0.7233727810650887
64004,2012,general,congressional,555,163,387,0.2936936936936937,0.6972972972972973
64005,2012,general,congressional,650,211,435,0.32461538461538464,0.6692307692307692
64006,2012,general,congressional,595,164,426,0.27563025210084036,0.7159663865546219
64007,2012,general,congressional,620,139,476,0.22419354838709676,0.7677419354838709
64008,2012,general,congressional,640,177,457,0.2765625,0.7140625
64009,2012,general,congressional,641,183,453,0.28549141965678626,0.7067082683307332
64010,2012,general,congressional,658,207,450,0.31458966565349544,0.6838905775075987
64011,2012,general,congressional,588,142,441,0.24149659863945577,0.75
64012,2012,general,congressional,335,81,252,0.2417910447761194,0.7522388059701492
64013,2012,general,congressional,279,101,178,0.36200716845878134,0.6379928315412187
64014,2012,general,congressional,526,160,362,0.3041825095057034,0.688212927756654
64015,2012,general,congressional,624,163,457,0.26121794871794873,0.7323717948717948
64016,2012,general,congressional,684,192,487,0.2807017543859649,0.7119883040935673
64017,2012,general,congressional,651,226,419,0.34715821812596004,0.6436251920122887
64018,2012,general,congressional,506,190,310,0.37549407114624506,0.6126482213438735
64019,2012,general,congressional,538,293,242,0.5446096654275093,0.44981412639405205
64020,2012,general,congressional,503,180,319,0.35785288270377735,0.6341948310139165
64021,2012,general,congressional,387,125,259,0.32299741602067183,0.6692506459948321
64022,2012,general,congressional,602,208,391,0.34551495016611294,0.6495016611295681
64023,2012,general,congressional,606,219,382,0.3613861386138614,0.6303630363036303
64024,2012,general,congressional,458,161,294,0.35152838427947597,0.6419213973799127
64025,2012,general,congressional,395,150,241,0.379746835443038,0.610126582278481
64026,2012,general,congressional,588,189,397,0.32142857142857145,0.6751700680272109
64027,2012,general,congressional,369,119,247,0.3224932249322493,0.6693766937669376
64028,2012,general,congressional,330,119,209,0.3606060606060606,0.6333333333333333
64029,2012,general,congressional,490,169,314,0.3448979591836735,0.6408163265306123
64030,2012,general,congressional,393,128,264,0.3256997455470738,0.6717557251908397
64031,2012,general,congressional,488,187,298,0.3831967213114754,0.610655737704918
64032,2012,general,congressional,552,222,328,0.40217391304347827,0.5942028985507246
64033,2012,general,congressional,507,162,339,0.31952662721893493,0.6686390532544378
64034,2012,general,congressional,531,213,312,0.4011299435028249,0.5875706214689266
64035,2012,general,congressional,634,218,409,0.3438485804416404,0.6451104100946372
64036,2012,general,congressional,602,241,356,0.4003322259136213,0.5913621262458472
64037,2012,general,congressional,434,147,278,0.3387096774193548,0.6405529953917051
64038,2012,general,congressional,391,179,209,0.4578005115089514,0.5345268542199488
64039,2012,general,congressional,516,210,299,0.4069767441860465,0.5794573643410853
64040,2012,general,congressional,555,365,183,0.6576576576576577,0.32972972972972975
64041,2012,general,congressional,509,206,299,0.40471512770137524,0.587426326129666
64042,2012,general,congressional,458,221,229,0.48253275109170307,0.5
64043,2012,general,congressional,378,185,189,0.4894179894179894,0.5
64044,2012,general,congressional,561,246,313,0.4385026737967914,0.5579322638146168
64045,2012,general,congressional,330,159,169,0.4818181818181818,0.5121212121212121
64046,2012,general,congressional,360,185,174,0.5138888888888888,0.48333333333333334
64047,2012,general,congressional,416,191,220,0.45913461538461536,0.5288461538461539
64048,2012,general,congressional,2,0,2,0,1
64049,2012,general,congressional,597,312,277,0.5226130653266332,0.4639865996649916
64050,2012,general,congressional,638,330,299,0.5172413793103449,0.46865203761755486
