elect_dist,year,type,office,total_votes,bardel_prop,grimm_prop,recchia_prop,bardel_tot,grimm_tot,recchia_tot
47056,2014,general,cong,122,0.06557377049180328,0.36885245901639346,0.5655737704918032,8,45,69
47057,2014,general,cong,268,0.029850746268656716,0.31343283582089554,0.6567164179104478,8,84,176
47058,2014,general,cong,145,0.020689655172413793,0.42758620689655175,0.5517241379310345,3,62,80
47059,2014,general,cong,191,0.010471204188481676,0.4397905759162304,0.5497382198952879,2,84,105
47060,2014,general,cong,66,0.030303030303030304,0.2727272727272727,0.696969696969697,2,18,46
47061,2014,general,cong,123,0.032520325203252036,0.3252032520325203,0.6422764227642277,4,40,79
47062,2014,general,cong,122,0.040983606557377046,0.5655737704918032,0.39344262295081966,5,69,48
47063,2014,general,cong,158,0.0189873417721519,0.4050632911392405,0.5759493670886076,3,64,91
47064,2014,general,cong,145,0,0.46206896551724136,0.5379310344827586,0,67,78
47065,2014,general,cong,174,0.04597701149425287,0.45977011494252873,0.4942528735632184,8,80,86
47066,2014,general,cong,70,0.014285714285714285,0.4857142857142857,0.5,1,34,35
47067,2014,general,cong,84,0.03571428571428571,0.5119047619047619,0.4523809523809524,3,43,38
47068,2014,general,cong,44,0.045454545454545456,0.3181818181818182,0.6363636363636364,2,14,28
49036,2014,general,cong,50,0.02,0.4,0.58,1,20,29
49044,2014,general,cong,51,0.0196078431372549,0.4117647058823529,0.5686274509803921,1,21,29
49045,2014,general,cong,69,0,0.4927536231884058,0.5072463768115942,0,34,35
49047,2014,general,cong,150,0.03333333333333333,0.4,0.5666666666666667,5,60,85
49048,2014,general,cong,238,0.025210084033613446,0.48739495798319327,0.48739495798319327,6,116,116
49049,2014,general,cong,190,0.031578947368421054,0.4631578947368421,0.5052631578947369,6,88,96
49050,2014,general,cong,207,0.00966183574879227,0.41545893719806765,0.5748792270531401,2,86,119
49051,2014,general,cong,157,0.01910828025477707,0.4140127388535032,0.5668789808917197,3,65,89
49052,2014,general,cong,216,0.004629629629629629,0.47685185185185186,0.5185185185185185,1,103,112
49053,2014,general,cong,275,0.02181818181818182,0.43272727272727274,0.5454545454545454,6,119,150
49054,2014,general,cong,150,0.006666666666666667,0.6,0.3933333333333333,1,90,59
49063,2014,general,cong,182,0.02197802197802198,0.5274725274725275,0.45054945054945056,4,96,82
49065,2014,general,cong,0,NaN,NaN,NaN,0,0,0
51059,2014,general,cong,289,0.058823529411764705,0.328719723183391,0.6124567474048442,17,95,177
61001,2014,general,cong,333,0.03903903903903904,0.2072072072072072,0.7537537537537538,13,69,251
61002,2014,general,cong,235,0.01702127659574468,0.07659574468085106,0.9063829787234042,4,18,213
61003,2014,general,cong,384,0.057291666666666664,0.171875,0.7708333333333334,22,66,296
61004,2014,general,cong,402,0.03731343283582089,0.25870646766169153,0.7039800995024875,15,104,283
61005,2014,general,cong,217,0.03225806451612903,0.10599078341013825,0.8617511520737328,7,23,187
61006,2014,general,cong,255,0.03529411764705882,0.3254901960784314,0.6392156862745098,9,83,163
61007,2014,general,cong,256,0.01171875,0.046875,0.94140625,3,12,241
61008,2014,general,cong,296,0.033783783783783786,0.10135135135135136,0.8648648648648649,10,30,256
61009,2014,general,cong,426,0.03990610328638498,0.2300469483568075,0.7300469483568075,17,98,311
61010,2014,general,cong,334,0.02694610778443114,0.19161676646706588,0.781437125748503,9,64,261
61011,2014,general,cong,199,0.005025125628140704,0.3316582914572864,0.6633165829145728,1,66,132
61012,2014,general,cong,462,0.032467532467532464,0.461038961038961,0.5064935064935064,15,213,234
61013,2014,general,cong,394,0.027918781725888325,0.2436548223350254,0.7284263959390863,11,96,287
61014,2014,general,cong,345,0.017391304347826087,0.4608695652173913,0.5217391304347826,6,159,180
61015,2014,general,cong,340,0.041176470588235294,0.37058823529411766,0.5882352941176471,14,126,200
61016,2014,general,cong,229,0.013100436681222707,0.07423580786026202,0.9126637554585153,3,17,209
61017,2014,general,cong,269,0.026022304832713755,0.15985130111524162,0.8141263940520446,7,43,219
61018,2014,general,cong,307,0.035830618892508145,0.3550488599348534,0.6091205211726385,11,109,187
61019,2014,general,cong,247,0.032388663967611336,0.4251012145748988,0.5425101214574899,8,105,134
61020,2014,general,cong,311,0.02572347266881029,0.4212218649517685,0.5530546623794212,8,131,172
61021,2014,general,cong,302,0.013245033112582781,0.15562913907284767,0.8311258278145696,4,47,251
61022,2014,general,cong,316,0.0031645569620253164,0.21835443037974683,0.7784810126582279,1,69,246
61023,2014,general,cong,264,0.011363636363636364,0.3560606060606061,0.6325757575757576,3,94,167
61024,2014,general,cong,347,0.01440922190201729,0.5936599423631124,0.3919308357348703,5,206,136
61025,2014,general,cong,329,0.0121580547112462,0.3404255319148936,0.6474164133738601,4,112,213
61026,2014,general,cong,280,0.05,0.16071428571428573,0.7892857142857143,14,45,221
61027,2014,general,cong,263,0.026615969581749048,0.24334600760456274,0.7300380228136882,7,64,192
61028,2014,general,cong,262,0.026717557251908396,0.27099236641221375,0.7022900763358778,7,71,184
61029,2014,general,cong,222,0.03153153153153153,0.47297297297297297,0.4954954954954955,7,105,110
61030,2014,general,cong,311,0.01929260450160772,0.2315112540192926,0.7491961414790996,6,72,233
61031,2014,general,cong,241,0.029045643153526972,0.21991701244813278,0.7510373443983402,7,53,181
61032,2014,general,cong,202,0.009900990099009901,0.29207920792079206,0.698019801980198,2,59,141
61033,2014,general,cong,176,0.028409090909090908,0.17613636363636365,0.7954545454545454,5,31,140
61034,2014,general,cong,363,0.02203856749311295,0.6942148760330579,0.2837465564738292,8,252,103
61035,2014,general,cong,289,0.02768166089965398,0.698961937716263,0.27335640138408307,8,202,79
61036,2014,general,cong,188,0.005319148936170213,0.6542553191489362,0.3404255319148936,1,123,64
61037,2014,general,cong,334,0.05089820359281437,0.41916167664670656,0.5299401197604791,17,140,177
61038,2014,general,cong,431,0.04176334106728538,0.5220417633410673,0.4361948955916473,18,225,188
61039,2014,general,cong,446,0.033632286995515695,0.5246636771300448,0.44170403587443946,15,234,197
61040,2014,general,cong,496,0.05040322580645161,0.5524193548387096,0.3971774193548387,25,274,197
61041,2014,general,cong,417,0.02158273381294964,0.6522781774580336,0.3261390887290168,9,272,136
61042,2014,general,cong,497,0.03822937625754527,0.6237424547283702,0.3380281690140845,19,310,168
61043,2014,general,cong,405,0.05185185185185185,0.6617283950617284,0.28641975308641976,21,268,116
61044,2014,general,cong,282,0.02127659574468085,0.6205673758865248,0.35815602836879434,6,175,101
61045,2014,general,cong,303,0.0297029702970297,0.7128712871287128,0.25742574257425743,9,216,78
61046,2014,general,cong,394,0.025380710659898477,0.6294416243654822,0.34517766497461927,10,248,136
61047,2014,general,cong,258,0.03488372093023256,0.7286821705426356,0.2364341085271318,9,188,61
61048,2014,general,cong,278,0.014388489208633094,0.7805755395683454,0.20503597122302158,4,217,57
61049,2014,general,cong,403,0.02977667493796526,0.25806451612903225,0.7121588089330024,12,104,287
61050,2014,general,cong,307,0.03257328990228013,0.24429967426710097,0.7231270358306189,10,75,222
61051,2014,general,cong,293,0.051194539249146756,0.2832764505119454,0.6655290102389079,15,83,195
61052,2014,general,cong,205,0.01951219512195122,0.4585365853658537,0.5219512195121951,4,94,107
61053,2014,general,cong,309,0.009708737864077669,0.0970873786407767,0.8932038834951457,3,30,276
61054,2014,general,cong,236,0.0211864406779661,0.3050847457627119,0.673728813559322,5,72,159
61055,2014,general,cong,310,0.01935483870967742,0.17096774193548386,0.8096774193548387,6,53,251
61056,2014,general,cong,303,0.0165016501650165,0.1485148514851485,0.834983498349835,5,45,253
61057,2014,general,cong,339,0.02654867256637168,0.32448377581120946,0.6489675516224189,9,110,220
61058,2014,general,cong,374,0,0.053475935828877004,0.946524064171123,0,20,354
61059,2014,general,cong,323,0.015479876160990712,0.0804953560371517,0.9040247678018576,5,26,292
61060,2014,general,cong,235,0,0.23404255319148937,0.7659574468085106,0,55,180
61061,2014,general,cong,357,0.0028011204481792717,0.022408963585434174,0.9747899159663865,1,8,348
61062,2014,general,cong,216,0.027777777777777776,0.5925925925925926,0.37962962962962965,6,128,82
61063,2014,general,cong,83,0,0.5783132530120482,0.42168674698795183,0,48,35
61064,2014,general,cong,137,0.043795620437956206,0.24087591240875914,0.7153284671532847,6,33,98
61065,2014,general,cong,205,0.024390243902439025,0.1902439024390244,0.7853658536585366,5,39,161
61066,2014,general,cong,0,NaN,NaN,NaN,0,0,0
61067,2014,general,cong,0,NaN,NaN,NaN,0,0,0
61068,2014,general,cong,0,NaN,NaN,NaN,0,0,0
62001,2014,general,cong,374,0.0213903743315508,0.7834224598930482,0.19518716577540107,8,293,73
62002,2014,general,cong,396,0.017676767676767676,0.8181818181818182,0.16414141414141414,7,324,65
62003,2014,general,cong,338,0.020710059171597635,0.7751479289940828,0.20414201183431951,7,262,69
62004,2014,general,cong,305,0.01639344262295082,0.7245901639344262,0.25901639344262295,5,221,79
62005,2014,general,cong,324,0.037037037037037035,0.8117283950617284,0.15123456790123457,12,263,49
62006,2014,general,cong,386,0.031088082901554404,0.7020725388601037,0.266839378238342,12,271,103
62007,2014,general,cong,381,0.028871391076115485,0.7637795275590551,0.2073490813648294,11,291,79
62008,2014,general,cong,337,0.02373887240356083,0.744807121661721,0.2314540059347181,8,251,78
62009,2014,general,cong,203,0.0049261083743842365,0.7536945812807881,0.2413793103448276,1,153,49
62010,2014,general,cong,179,0.0111731843575419,0.776536312849162,0.2122905027932961,2,139,38
62011,2014,general,cong,311,0.022508038585209004,0.8263665594855305,0.15112540192926044,7,257,47
62012,2014,general,cong,256,0.015625,0.7109375,0.2734375,4,182,70
62013,2014,general,cong,293,0.010238907849829351,0.689419795221843,0.3003412969283277,3,202,88
62014,2014,general,cong,250,0.008,0.732,0.26,2,183,65
62015,2014,general,cong,269,0.01858736059479554,0.6988847583643123,0.2825278810408922,5,188,76
62016,2014,general,cong,273,0.03663003663003663,0.6703296703296703,0.29304029304029305,10,183,80
62017,2014,general,cong,275,0.01818181818181818,0.6872727272727273,0.29454545454545455,5,189,81
62018,2014,general,cong,299,0.023411371237458192,0.7424749163879598,0.23411371237458195,7,222,70
62019,2014,general,cong,338,0.008875739644970414,0.7899408284023669,0.20118343195266272,3,267,68
62020,2014,general,cong,300,0.013333333333333334,0.77,0.21666666666666667,4,231,65
62021,2014,general,cong,308,0.012987012987012988,0.7727272727272727,0.21428571428571427,4,238,66
62022,2014,general,cong,311,0.012861736334405145,0.7781350482315113,0.2090032154340836,4,242,65
62023,2014,general,cong,320,0.01875,0.7875,0.19375,6,252,62
62024,2014,general,cong,264,0.01893939393939394,0.6363636363636364,0.3446969696969697,5,168,91
62025,2014,general,cong,316,0.0031645569620253164,0.7278481012658228,0.2689873417721519,1,230,85
62026,2014,general,cong,312,0.035256410256410256,0.5737179487179487,0.391025641025641,11,179,122
62027,2014,general,cong,304,0.013157894736842105,0.7335526315789473,0.2532894736842105,4,223,77
62028,2014,general,cong,294,0.013605442176870748,0.7721088435374149,0.21428571428571427,4,227,63
62029,2014,general,cong,208,0.019230769230769232,0.8125,0.16826923076923078,4,169,35
62030,2014,general,cong,314,0.012738853503184714,0.8152866242038217,0.17197452229299362,4,256,54
62031,2014,general,cong,369,0.02981029810298103,0.7235772357723578,0.24661246612466126,11,267,91
62032,2014,general,cong,294,0.013605442176870748,0.8401360544217688,0.14625850340136054,4,247,43
62033,2014,general,cong,353,0.025495750708215296,0.7960339943342776,0.17847025495750707,9,281,63
62034,2014,general,cong,355,0.014084507042253521,0.8028169014084507,0.18309859154929578,5,285,65
62035,2014,general,cong,355,0.022535211267605635,0.8253521126760563,0.15211267605633802,8,293,54
62036,2014,general,cong,422,0.018957345971563982,0.7535545023696683,0.22748815165876776,8,318,96
62037,2014,general,cong,394,0.01015228426395939,0.7842639593908629,0.20558375634517767,4,309,81
62038,2014,general,cong,348,0.040229885057471264,0.7212643678160919,0.23850574712643677,14,251,83
62039,2014,general,cong,384,0.015625,0.8411458333333334,0.14322916666666666,6,323,55
62040,2014,general,cong,331,0.012084592145015106,0.7522658610271903,0.23564954682779457,4,249,78
62041,2014,general,cong,288,0.03819444444444445,0.7222222222222222,0.23958333333333334,11,208,69
62042,2014,general,cong,340,0.026470588235294117,0.7235294117647059,0.25,9,246,85
62043,2014,general,cong,321,0.024922118380062305,0.7227414330218068,0.2523364485981308,8,232,81
62044,2014,general,cong,379,0.023746701846965697,0.7018469656992085,0.27440633245382584,9,266,104
62045,2014,general,cong,274,0.014598540145985401,0.7226277372262774,0.26277372262773724,4,198,72
62046,2014,general,cong,342,0.011695906432748537,0.7982456140350878,0.19005847953216373,4,273,65
62047,2014,general,cong,316,0.02531645569620253,0.7183544303797469,0.2563291139240506,8,227,81
62048,2014,general,cong,270,0.011111111111111112,0.7407407407407407,0.24814814814814815,3,200,67
62049,2014,general,cong,369,0.013550135501355014,0.7262872628726287,0.2601626016260163,5,268,96
62050,2014,general,cong,344,0.03197674418604651,0.7819767441860465,0.18604651162790697,11,269,64
62051,2014,general,cong,293,0.010238907849829351,0.7030716723549488,0.28668941979522183,3,206,84
62052,2014,general,cong,356,0.03651685393258427,0.7443820224719101,0.21910112359550563,13,265,78
62053,2014,general,cong,338,0.029585798816568046,0.7248520710059172,0.2455621301775148,10,245,83
62054,2014,general,cong,325,0.024615384615384615,0.676923076923077,0.29846153846153844,8,220,97
62055,2014,general,cong,332,0.0391566265060241,0.7349397590361446,0.22590361445783133,13,244,75
62056,2014,general,cong,256,0.03515625,0.69921875,0.265625,9,179,68
62057,2014,general,cong,295,0.01694915254237288,0.7864406779661017,0.19661016949152543,5,232,58
62058,2014,general,cong,358,0.025139664804469275,0.7513966480446927,0.22346368715083798,9,269,80
62059,2014,general,cong,243,0.00823045267489712,0.6995884773662552,0.29218106995884774,2,170,71
62060,2014,general,cong,161,0.031055900621118012,0.7701863354037267,0.19875776397515527,5,124,32
62061,2014,general,cong,231,0.012987012987012988,0.6493506493506493,0.33766233766233766,3,150,78
62062,2014,general,cong,214,0.0514018691588785,0.7102803738317757,0.2383177570093458,11,152,51
62063,2014,general,cong,187,0.016042780748663103,0.6470588235294118,0.33689839572192515,3,121,63
62064,2014,general,cong,159,0.06289308176100629,0.6477987421383647,0.2893081761006289,10,103,46
62065,2014,general,cong,457,0.015317286652078774,0.7768052516411379,0.20787746170678337,7,355,95
62066,2014,general,cong,451,0.015521064301552107,0.7960088691796009,0.188470066518847,7,359,85
62067,2014,general,cong,371,0.0215633423180593,0.7196765498652291,0.2587601078167116,8,267,96
62068,2014,general,cong,352,0.014204545454545454,0.71875,0.26704545454545453,5,253,94
62069,2014,general,cong,290,0.017241379310344827,0.7379310344827587,0.24482758620689654,5,214,71
62070,2014,general,cong,170,0.023529411764705882,0.6764705882352942,0.3,4,115,51
62071,2014,general,cong,377,0.007957559681697613,0.7851458885941645,0.20689655172413793,3,296,78
62072,2014,general,cong,315,0.01904761904761905,0.7619047619047619,0.21904761904761905,6,240,69
62073,2014,general,cong,336,0.026785714285714284,0.6934523809523809,0.27976190476190477,9,233,94
62074,2014,general,cong,0,NaN,NaN,NaN,0,0,0
62075,2014,general,cong,0,NaN,NaN,NaN,0,0,0
63001,2014,general,cong,292,0.030821917808219176,0.5958904109589042,0.3732876712328767,9,174,109
63002,2014,general,cong,254,0.03937007874015748,0.4921259842519685,0.468503937007874,10,125,119
63003,2014,general,cong,224,0.04017857142857143,0.49107142857142855,0.46875,9,110,105
63004,2014,general,cong,242,0.012396694214876033,0.6983471074380165,0.2892561983471074,3,169,70
63005,2014,general,cong,261,0.034482758620689655,0.7011494252873564,0.26436781609195403,9,183,69
63006,2014,general,cong,226,0.01327433628318584,0.7212389380530974,0.26548672566371684,3,163,60
63007,2014,general,cong,217,0.004608294930875576,0.4838709677419355,0.511520737327189,1,105,111
63008,2014,general,cong,183,0.01639344262295082,0.6557377049180327,0.32786885245901637,3,120,60
63009,2014,general,cong,22,0,0.7727272727272727,0.22727272727272727,0,17,5
63010,2014,general,cong,147,0.027210884353741496,0.3877551020408163,0.5850340136054422,4,57,86
63011,2014,general,cong,371,0.0215633423180593,0.5363881401617251,0.4420485175202156,8,199,164
63012,2014,general,cong,375,0.021333333333333333,0.5653333333333334,0.41333333333333333,8,212,155
63013,2014,general,cong,265,0.011320754716981131,0.49056603773584906,0.4981132075471698,3,130,132
63014,2014,general,cong,248,0.028225806451612902,0.5201612903225806,0.45161290322580644,7,129,112
63015,2014,general,cong,277,0.010830324909747292,0.5487364620938628,0.4404332129963899,3,152,122
63016,2014,general,cong,266,0.02631578947368421,0.5150375939849624,0.45864661654135336,7,137,122
63017,2014,general,cong,106,0.018867924528301886,0.5094339622641509,0.4716981132075472,2,54,50
63018,2014,general,cong,277,0.007220216606498195,0.7472924187725631,0.24548736462093862,2,207,68
63019,2014,general,cong,155,0.05161290322580645,0.5935483870967742,0.3548387096774194,8,92,55
63020,2014,general,cong,249,0.024096385542168676,0.570281124497992,0.40562248995983935,6,142,101
63021,2014,general,cong,278,0.02158273381294964,0.6906474820143885,0.28776978417266186,6,192,80
63022,2014,general,cong,301,0.009966777408637873,0.6146179401993356,0.3754152823920266,3,185,113
63023,2014,general,cong,361,0.030470914127423823,0.6454293628808865,0.32409972299168976,11,233,117
63024,2014,general,cong,305,0.019672131147540985,0.6032786885245902,0.3770491803278688,6,184,115
63025,2014,general,cong,332,0.009036144578313253,0.7228915662650602,0.2680722891566265,3,240,89
63026,2014,general,cong,381,0.013123359580052493,0.7690288713910761,0.2178477690288714,5,293,83
63027,2014,general,cong,226,0.03982300884955752,0.6592920353982301,0.3008849557522124,9,149,68
63028,2014,general,cong,340,0.01764705882352941,0.7058823529411765,0.27647058823529413,6,240,94
63029,2014,general,cong,328,0.03048780487804878,0.6371951219512195,0.3323170731707317,10,209,109
63030,2014,general,cong,275,0.01818181818181818,0.6254545454545455,0.3563636363636364,5,172,98
63031,2014,general,cong,303,0.036303630363036306,0.5544554455445545,0.40924092409240925,11,168,124
63032,2014,general,cong,346,0.02023121387283237,0.6242774566473989,0.3554913294797688,7,216,123
63033,2014,general,cong,316,0,0.7310126582278481,0.2689873417721519,0,231,85
63034,2014,general,cong,195,0.02564102564102564,0.6974358974358974,0.27692307692307694,5,136,54
63035,2014,general,cong,264,0.030303030303030304,0.6893939393939394,0.2803030303030303,8,182,74
63036,2014,general,cong,401,0.03740648379052369,0.6159600997506235,0.34663341645885287,15,247,139
63037,2014,general,cong,278,0.02158273381294964,0.3920863309352518,0.5863309352517986,6,109,163
