elect_dist,year,type,office,total_votes,bardel_prop,donovan_prop,reichard_prop,bardel_tot,donovan_tot,reichard_tot
46067,2016,general,cong,652,0.013803680981595092,0.6871165644171779,0.299079754601227,9,448,195
46068,2016,general,cong,574,0.01916376306620209,0.6829268292682927,0.2979094076655052,11,392,171
46069,2016,general,cong,529,0.013232514177693762,0.6200378071833649,0.3667296786389414,7,328,194
46070,2016,general,cong,496,0.02217741935483871,0.7520161290322581,0.22580645161290322,11,373,112
46071,2016,general,cong,545,0.023853211009174313,0.6660550458715596,0.31009174311926607,13,363,169
46072,2016,general,cong,644,0.04192546583850932,0.515527950310559,0.44254658385093165,27,332,285
46074,2016,general,cong,131,0.007633587786259542,0.3816793893129771,0.6106870229007634,1,50,80
46075,2016,general,cong,0,NaN,NaN,NaN,0,0,0
46076,2016,general,cong,1,0,0,1,0,0,1
46078,2016,general,cong,432,0.016203703703703703,0.47685185185185186,0.5069444444444444,7,206,219
46079,2016,general,cong,534,0.009363295880149813,0.7602996254681648,0.2303370786516854,5,406,123
47001,2016,general,cong,524,0.013358778625954198,0.5877862595419847,0.3988549618320611,7,308,209
47002,2016,general,cong,468,0.021367521367521368,0.49572649572649574,0.4829059829059829,10,232,226
47005,2016,general,cong,394,0.02284263959390863,0.4847715736040609,0.49238578680203043,9,191,194
47006,2016,general,cong,425,0.021176470588235293,0.3976470588235294,0.5811764705882353,9,169,247
47007,2016,general,cong,384,0.018229166666666668,0.4479166666666667,0.5338541666666666,7,172,205
47008,2016,general,cong,339,0.02064896755162242,0.5752212389380531,0.40412979351032446,7,195,137
47009,2016,general,cong,515,0.031067961165048542,0.487378640776699,0.4815533980582524,16,251,248
47011,2016,general,cong,364,0.024725274725274724,0.49725274725274726,0.47802197802197804,9,181,174
47012,2016,general,cong,391,0.03580562659846547,0.47058823529411764,0.4936061381074169,14,184,193
47013,2016,general,cong,426,0.025821596244131457,0.42488262910798125,0.5492957746478874,11,181,234
47014,2016,general,cong,437,0.018306636155606407,0.5011441647597255,0.4805491990846682,8,219,210
47015,2016,general,cong,467,0.029978586723768737,0.3554603854389722,0.6145610278372591,14,166,287
47016,2016,general,cong,297,0.013468013468013467,0.4983164983164983,0.4882154882154882,4,148,145
47017,2016,general,cong,300,0.03,0.44333333333333336,0.5266666666666666,9,133,158
47018,2016,general,cong,465,0.017204301075268817,0.5806451612903226,0.4021505376344086,8,270,187
47019,2016,general,cong,88,0.022727272727272728,0.5340909090909091,0.4431818181818182,2,47,39
47032,2016,general,cong,105,0.05714285714285714,0.3619047619047619,0.580952380952381,6,38,61
47038,2016,general,cong,120,0,0.48333333333333334,0.5166666666666667,0,58,62
47041,2016,general,cong,330,0.03333333333333333,0.4303030303030303,0.5363636363636364,11,142,177
47048,2016,general,cong,369,0.008130081300813009,0.5989159891598916,0.39295392953929537,3,221,145
47049,2016,general,cong,357,0.014005602240896359,0.6050420168067226,0.38095238095238093,5,216,136
47053,2016,general,cong,302,0.013245033112582781,0.09933774834437085,0.8874172185430463,4,30,268
47054,2016,general,cong,283,0.01060070671378092,0.06007067137809187,0.9293286219081273,3,17,263
47055,2016,general,cong,392,0.025510204081632654,0.45918367346938777,0.5153061224489796,10,180,202
47056,2016,general,cong,306,0.029411764705882353,0.434640522875817,0.5359477124183006,9,133,164
47057,2016,general,cong,405,0.019753086419753086,0.5185185185185185,0.4617283950617284,8,210,187
47058,2016,general,cong,264,0.01893939393939394,0.6098484848484849,0.3712121212121212,5,161,98
47059,2016,general,cong,370,0.010810810810810811,0.581081081081081,0.4081081081081081,4,215,151
47060,2016,general,cong,133,0.022556390977443608,0.46616541353383456,0.5112781954887218,3,62,68
47061,2016,general,cong,313,0.04472843450479233,0.36421725239616615,0.5910543130990416,14,114,185
47062,2016,general,cong,368,0.024456521739130436,0.532608695652174,0.4429347826086957,9,196,163
47063,2016,general,cong,441,0.02947845804988662,0.4489795918367347,0.5215419501133787,13,198,230
47064,2016,general,cong,345,0.02318840579710145,0.4463768115942029,0.5304347826086957,8,154,183
47065,2016,general,cong,355,0.01971830985915493,0.5098591549295775,0.4704225352112676,7,181,167
47066,2016,general,cong,168,0.017857142857142856,0.5416666666666666,0.44047619047619047,3,91,74
47067,2016,general,cong,218,0.022935779816513763,0.463302752293578,0.5137614678899083,5,101,112
47068,2016,general,cong,105,0.009523809523809525,0.5047619047619047,0.4857142857142857,1,53,51
49036,2016,general,cong,148,0.02702702702702703,0.4797297297297297,0.49324324324324326,4,71,73
49044,2016,general,cong,161,0.024844720496894408,0.5403726708074534,0.43478260869565216,4,87,70
49045,2016,general,cong,140,0.014285714285714285,0.6,0.38571428571428573,2,84,54
49047,2016,general,cong,400,0.05,0.3475,0.6025,20,139,241
49048,2016,general,cong,523,0.0248565965583174,0.5544933078393881,0.42065009560229444,13,290,220
49049,2016,general,cong,424,0.02122641509433962,0.5094339622641509,0.4693396226415094,9,216,199
49050,2016,general,cong,534,0.0149812734082397,0.4419475655430712,0.5430711610486891,8,236,290
49051,2016,general,cong,381,0.026246719160104987,0.5616797900262467,0.4120734908136483,10,214,157
49052,2016,general,cong,593,0.021922428330522766,0.5430016863406408,0.4350758853288364,13,322,258
49053,2016,general,cong,557,0.02333931777378815,0.6373429084380611,0.3393177737881508,13,355,189
49054,2016,general,cong,331,0.030211480362537766,0.5830815709969789,0.3867069486404834,10,193,128
49063,2016,general,cong,333,0.02702702702702703,0.6426426426426426,0.3303303303303303,9,214,110
49065,2016,general,cong,0,NaN,NaN,NaN,0,0,0
51059,2016,general,cong,622,0.03536977491961415,0.3102893890675241,0.6543408360128617,22,193,407
61001,2016,general,cong,770,0.03766233766233766,0.23636363636363636,0.7259740259740259,29,182,559
61002,2016,general,cong,357,0.014005602240896359,0.11204481792717087,0.8739495798319328,5,40,312
61003,2016,general,cong,797,0.03889585947302384,0.21831869510664995,0.7427854454203262,31,174,592
61004,2016,general,cong,769,0.022106631989596878,0.3107932379713914,0.6671001300390117,17,239,513
61005,2016,general,cong,531,0.03954802259887006,0.19397363465160075,0.7664783427495292,21,103,407
61006,2016,general,cong,598,0.023411371237458192,0.33444816053511706,0.6421404682274248,14,200,384
61007,2016,general,cong,535,0.011214953271028037,0.09906542056074766,0.8897196261682243,6,53,476
61008,2016,general,cong,595,0.025210084033613446,0.12100840336134454,0.853781512605042,15,72,508
61009,2016,general,cong,592,0.018581081081081082,0.27871621621621623,0.7027027027027027,11,165,416
61010,2016,general,cong,633,0.030015797788309637,0.24486571879936808,0.7251184834123223,19,155,459
61011,2016,general,cong,460,0.02826086956521739,0.3565217391304348,0.6152173913043478,13,164,283
61012,2016,general,cong,825,0.024242424242424242,0.5212121212121212,0.45454545454545453,20,430,375
61013,2016,general,cong,528,0.022727272727272728,0.3371212121212121,0.6401515151515151,12,178,338
61014,2016,general,cong,573,0.012216404886561954,0.5287958115183246,0.45898778359511344,7,303,263
61015,2016,general,cong,670,0.016417910447761194,0.43582089552238806,0.5477611940298508,11,292,367
61016,2016,general,cong,434,0.020737327188940093,0.14285714285714285,0.836405529953917,9,62,363
61017,2016,general,cong,596,0.03523489932885906,0.18624161073825504,0.7785234899328859,21,111,464
61018,2016,general,cong,713,0.033660589060308554,0.32538569424964936,0.6409537166900421,24,232,457
61019,2016,general,cong,699,0.027181688125894134,0.37052932761087265,0.6022889842632332,19,259,421
61020,2016,general,cong,677,0.019202363367799114,0.4771048744460857,0.5036927621861153,13,323,341
61021,2016,general,cong,636,0.01729559748427673,0.19654088050314467,0.7861635220125787,11,125,500
61022,2016,general,cong,661,0.019667170953101363,0.2556732223903177,0.7246596066565809,13,169,479
61023,2016,general,cong,690,0.020289855072463767,0.3826086956521739,0.5971014492753624,14,264,412
61024,2016,general,cong,711,0.011251758087201125,0.6216596343178622,0.3670886075949367,8,442,261
61025,2016,general,cong,698,0.015759312320916905,0.4068767908309456,0.5773638968481375,11,284,403
61026,2016,general,cong,636,0.0330188679245283,0.2531446540880503,0.7138364779874213,21,161,454
61027,2016,general,cong,660,0.016666666666666666,0.28939393939393937,0.693939393939394,11,191,458
61028,2016,general,cong,668,0.02245508982035928,0.37425149700598803,0.6032934131736527,15,250,403
61029,2016,general,cong,524,0.02099236641221374,0.5477099236641222,0.4312977099236641,11,287,226
61030,2016,general,cong,700,0.015714285714285715,0.37285714285714283,0.6114285714285714,11,261,428
61031,2016,general,cong,558,0.012544802867383513,0.3064516129032258,0.6810035842293907,7,171,380
61032,2016,general,cong,491,0.012219959266802444,0.3034623217922607,0.6843177189409368,6,149,336
61033,2016,general,cong,386,0.015544041450777202,0.2927461139896373,0.6917098445595855,6,113,267
61034,2016,general,cong,697,0.007173601147776184,0.7474892395982783,0.24533715925394547,5,521,171
61035,2016,general,cong,542,0.005535055350553505,0.7970479704797048,0.1974169741697417,3,432,107
61036,2016,general,cong,370,0.01891891891891892,0.7405405405405405,0.24054054054054055,7,274,89
61037,2016,general,cong,612,0.021241830065359478,0.5261437908496732,0.4526143790849673,13,322,277
61038,2016,general,cong,756,0.011904761904761904,0.6283068783068783,0.35978835978835977,9,475,272
61039,2016,general,cong,796,0.010050251256281407,0.6306532663316583,0.3592964824120603,8,502,286
61040,2016,general,cong,829,0.012062726176115802,0.6936067551266586,0.2943305186972256,10,575,244
61041,2016,general,cong,751,0.013315579227696404,0.7310252996005326,0.255659121171771,10,549,192
61042,2016,general,cong,868,0.008064516129032258,0.6912442396313364,0.30069124423963134,7,600,261
61043,2016,general,cong,715,0.013986013986013986,0.7104895104895105,0.2755244755244755,10,508,197
61044,2016,general,cong,509,0.01768172888015717,0.6817288801571709,0.3005893909626719,9,347,153
61045,2016,general,cong,582,0.006872852233676976,0.761168384879725,0.23195876288659795,4,443,135
61046,2016,general,cong,740,0.010810810810810811,0.7189189189189189,0.2702702702702703,8,532,200
61047,2016,general,cong,514,0.009727626459143969,0.7568093385214008,0.23346303501945526,5,389,120
61048,2016,general,cong,558,0.016129032258064516,0.7795698924731183,0.20430107526881722,9,435,114
61049,2016,general,cong,657,0.0410958904109589,0.2709284627092846,0.6879756468797564,27,178,452
61050,2016,general,cong,593,0.01854974704890388,0.2596964586846543,0.7217537942664418,11,154,428
61051,2016,general,cong,619,0.0210016155088853,0.35379644588045234,0.6252019386106623,13,219,387
61052,2016,general,cong,388,0.02577319587628866,0.5360824742268041,0.4381443298969072,10,208,170
61053,2016,general,cong,622,0.014469453376205787,0.08038585209003216,0.905144694533762,9,50,563
61054,2016,general,cong,471,0.04670912951167728,0.2760084925690021,0.6772823779193206,22,130,319
61055,2016,general,cong,520,0.015384615384615385,0.1326923076923077,0.8519230769230769,8,69,443
61056,2016,general,cong,529,0.007561436672967864,0.2060491493383743,0.7863894139886578,4,109,416
61057,2016,general,cong,744,0.020161290322580645,0.385752688172043,0.5940860215053764,15,287,442
61058,2016,general,cong,753,0.00398406374501992,0.0451527224435591,0.950863213811421,3,34,716
61059,2016,general,cong,753,0.01859229747675963,0.1460823373173971,0.8353253652058433,14,110,629
61060,2016,general,cong,560,0.025,0.3375,0.6375,14,189,357
61061,2016,general,cong,528,0.005681818181818182,0.041666666666666664,0.9526515151515151,3,22,503
61062,2016,general,cong,460,0.008695652173913044,0.6739130434782609,0.3173913043478261,4,310,146
61063,2016,general,cong,205,0.00975609756097561,0.5902439024390244,0.4,2,121,82
61064,2016,general,cong,209,0.019138755980861243,0.35406698564593303,0.6267942583732058,4,74,131
61065,2016,general,cong,487,0.030800821355236138,0.1971252566735113,0.7720739219712526,15,96,376
61066,2016,general,cong,0,NaN,NaN,NaN,0,0,0
61067,2016,general,cong,0,NaN,NaN,NaN,0,0,0
61068,2016,general,cong,0,NaN,NaN,NaN,0,0,0
61069,2016,general,cong,437,0.013729977116704805,0.2402745995423341,0.7459954233409611,6,105,326
61070,2016,general,cong,457,0.0175054704595186,0.09846827133479212,0.8840262582056893,8,45,404
62001,2016,general,cong,809,0.006180469715698393,0.8776266996291718,0.1161928306551298,5,710,94
62002,2016,general,cong,811,0.007398273736128237,0.8816276202219482,0.11097410604192355,6,715,90
62003,2016,general,cong,727,0.009628610729023384,0.8624484181568088,0.1279229711141678,7,627,93
62004,2016,general,cong,766,0.010443864229765013,0.8159268929503917,0.17362924281984335,8,625,133
62005,2016,general,cong,779,0.007702182284980745,0.8921694480102695,0.10012836970474968,6,695,78
62006,2016,general,cong,724,0.017955801104972375,0.7817679558011049,0.20027624309392264,13,566,145
62007,2016,general,cong,628,0.01910828025477707,0.8121019108280255,0.16878980891719744,12,510,106
62008,2016,general,cong,818,0.013447432762836185,0.8288508557457213,0.15770171149144255,11,678,129
62009,2016,general,cong,345,0.011594202898550725,0.782608695652174,0.20579710144927535,4,270,71
62010,2016,general,cong,458,0.004366812227074236,0.8296943231441049,0.16593886462882096,2,380,76
62011,2016,general,cong,811,0.009864364981504316,0.8520345252774353,0.1381011097410604,8,691,112
62012,2016,general,cong,836,0.01076555023923445,0.80622009569378,0.18301435406698566,9,674,153
62013,2016,general,cong,935,0.020320855614973262,0.7978609625668449,0.18181818181818182,19,746,170
62014,2016,general,cong,806,0.009925558312655087,0.7915632754342432,0.19851116625310175,8,638,160
62015,2016,general,cong,803,0.009962640099626401,0.7907845579078456,0.199252801992528,8,635,160
62016,2016,general,cong,760,0.014473684210526316,0.7671052631578947,0.21842105263157896,11,583,166
62017,2016,general,cong,747,0.004016064257028112,0.8741633199464525,0.12182061579651941,3,653,91
62018,2016,general,cong,813,0.0036900369003690036,0.8450184501845018,0.15129151291512916,3,687,123
62019,2016,general,cong,804,0.006218905472636816,0.8681592039800995,0.1256218905472637,5,698,101
62020,2016,general,cong,746,0.006702412868632708,0.8378016085790885,0.1554959785522788,5,625,116
62021,2016,general,cong,673,0.010401188707280832,0.8781575037147102,0.11144130757800892,7,591,75
62022,2016,general,cong,776,0.010309278350515464,0.8762886597938144,0.1134020618556701,8,680,88
62023,2016,general,cong,766,0.01174934725848564,0.8707571801566579,0.1174934725848564,9,667,90
62024,2016,general,cong,683,0.0029282576866764276,0.7818448023426061,0.21522693997071743,2,534,147
62025,2016,general,cong,790,0.006329113924050633,0.8468354430379746,0.1468354430379747,5,669,116
62026,2016,general,cong,739,0.006765899864682003,0.7144790257104194,0.2787550744248985,5,528,206
62027,2016,general,cong,789,0.005069708491761723,0.7997465145754119,0.19518377693282637,4,631,154
62028,2016,general,cong,732,0.00273224043715847,0.8278688524590164,0.16939890710382513,2,606,124
62029,2016,general,cong,632,0.012658227848101266,0.8227848101265823,0.16455696202531644,8,520,104
62030,2016,general,cong,763,0.010484927916120577,0.8623853211009175,0.127129750982962,8,658,97
62031,2016,general,cong,702,0.011396011396011397,0.8076923076923077,0.18091168091168092,8,567,127
62032,2016,general,cong,774,0.00904392764857881,0.8669250645994832,0.12403100775193798,7,671,96
62033,2016,general,cong,760,0.014473684210526316,0.8539473684210527,0.13157894736842105,11,649,100
62034,2016,general,cong,782,0.0076726342710997444,0.850383631713555,0.14194373401534527,6,665,111
62035,2016,general,cong,742,0.008086253369272238,0.8463611859838275,0.14555256064690028,6,628,108
62036,2016,general,cong,760,0.010526315789473684,0.8315789473684211,0.15789473684210525,8,632,120
62037,2016,general,cong,810,0.007407407407407408,0.8617283950617284,0.1308641975308642,6,698,106
62038,2016,general,cong,751,0.007989347536617843,0.8202396804260985,0.17177097203728361,6,616,129
62039,2016,general,cong,753,0.00398406374501992,0.8539176626826029,0.14209827357237717,3,643,107
62040,2016,general,cong,754,0.005305039787798408,0.8381962864721485,0.15649867374005305,4,632,118
62041,2016,general,cong,749,0.0053404539385847796,0.8397863818424566,0.1548731642189586,4,629,116
62042,2016,general,cong,851,0.008225616921269096,0.8131609870740305,0.17861339600470036,7,692,152
62043,2016,general,cong,717,0.01394700139470014,0.8242677824267782,0.16178521617852162,10,591,116
62044,2016,general,cong,791,0.011378002528445006,0.8268015170670038,0.16182048040455121,9,654,128
62045,2016,general,cong,664,0.006024096385542169,0.8132530120481928,0.18072289156626506,4,540,120
62046,2016,general,cong,718,0.011142061281337047,0.8342618384401114,0.15459610027855153,8,599,111
62047,2016,general,cong,762,0.007874015748031496,0.8254593175853019,0.16666666666666666,6,629,127
62048,2016,general,cong,714,0.0056022408963585435,0.7969187675070029,0.19747899159663865,4,569,141
62049,2016,general,cong,715,0.012587412587412588,0.8041958041958042,0.18321678321678322,9,575,131
62050,2016,general,cong,711,0.011251758087201125,0.8579465541490858,0.1308016877637131,8,610,93
62051,2016,general,cong,700,0.007142857142857143,0.7657142857142857,0.22714285714285715,5,536,159
62052,2016,general,cong,728,0.013736263736263736,0.8324175824175825,0.15384615384615385,10,606,112
62053,2016,general,cong,790,0.01139240506329114,0.8063291139240506,0.18227848101265823,9,637,144
62054,2016,general,cong,703,0.005689900426742532,0.7908961593172119,0.2034139402560455,4,556,143
62055,2016,general,cong,725,0.011034482758620689,0.8206896551724138,0.16827586206896553,8,595,122
62056,2016,general,cong,759,0.023715415019762844,0.7628458498023716,0.2134387351778656,18,579,162
62057,2016,general,cong,696,0.008620689655172414,0.8462643678160919,0.14511494252873564,6,589,101
62058,2016,general,cong,775,0.007741935483870968,0.8567741935483871,0.13548387096774195,6,664,105
62059,2016,general,cong,491,0.018329938900203666,0.7759674134419552,0.20570264765784113,9,381,101
62060,2016,general,cong,446,0.011210762331838564,0.8408071748878924,0.14798206278026907,5,375,66
62061,2016,general,cong,517,0.005802707930367505,0.7504835589941973,0.2437137330754352,3,388,126
62062,2016,general,cong,467,0.014989293361884369,0.7987152034261242,0.18629550321199143,7,373,87
62063,2016,general,cong,384,0.020833333333333332,0.65625,0.3229166666666667,8,252,124
62064,2016,general,cong,391,0.01278772378516624,0.7877237851662404,0.19948849104859334,5,308,78
62065,2016,general,cong,818,0.006112469437652812,0.863080684596577,0.13080684596577016,5,706,107
62066,2016,general,cong,756,0.006613756613756613,0.8584656084656085,0.1349206349206349,5,649,102
62067,2016,general,cong,739,0.012178619756427604,0.790257104194858,0.1975642760487145,9,584,146
62068,2016,general,cong,742,0.004043126684636119,0.7493261455525606,0.24663072776280323,3,556,183
62069,2016,general,cong,554,0.005415162454873646,0.7725631768953068,0.22202166064981949,3,428,123
62070,2016,general,cong,346,0.02023121387283237,0.8005780346820809,0.1791907514450867,7,277,62
62071,2016,general,cong,744,0.013440860215053764,0.8104838709677419,0.1760752688172043,10,603,131
62072,2016,general,cong,586,0.005119453924914676,0.8310580204778157,0.16382252559726962,3,487,96
62073,2016,general,cong,789,0.012674271229404309,0.7858048162230672,0.20152091254752852,10,620,159
62074,2016,general,cong,0,NaN,NaN,NaN,0,0,0
62076,2016,general,cong,405,0.009876543209876543,0.8641975308641975,0.1259259259259259,4,350,51
63001,2016,general,cong,738,0.012195121951219513,0.6964769647696477,0.29132791327913277,9,514,215
63002,2016,general,cong,563,0.015985790408525755,0.6287744227353463,0.3552397868561279,9,354,200
63003,2016,general,cong,430,0.011627906976744186,0.5651162790697675,0.4232558139534884,5,243,182
63004,2016,general,cong,660,0.007575757575757576,0.8075757575757576,0.18484848484848485,5,533,122
63005,2016,general,cong,657,0.0030441400304414,0.7945205479452054,0.2024353120243531,2,522,133
63006,2016,general,cong,697,0.00860832137733142,0.7833572453371592,0.20803443328550933,6,546,145
63007,2016,general,cong,730,0.015068493150684932,0.6095890410958904,0.37534246575342467,11,445,274
63008,2016,general,cong,546,0.01282051282051282,0.7032967032967034,0.2838827838827839,7,384,155
63009,2016,general,cong,54,0.037037037037037035,0.8148148148148148,0.14814814814814814,2,44,8
63010,2016,general,cong,304,0.023026315789473683,0.4407894736842105,0.5361842105263158,7,134,163
63011,2016,general,cong,762,0.014435695538057743,0.6233595800524935,0.36220472440944884,11,475,276
63012,2016,general,cong,743,0.014804845222072678,0.6460296096904441,0.3391655450874832,11,480,252
63013,2016,general,cong,731,0.016415868673050615,0.5649794801641587,0.4186046511627907,12,413,306
63014,2016,general,cong,642,0.018691588785046728,0.6386292834890965,0.3426791277258567,12,410,220
63015,2016,general,cong,694,0.011527377521613832,0.6440922190201729,0.34438040345821325,8,447,239
63016,2016,general,cong,613,0.013050570962479609,0.6231647634584013,0.3637846655791191,8,382,223
63017,2016,general,cong,241,0.016597510373443983,0.5145228215767634,0.46887966804979253,4,124,113
63018,2016,general,cong,717,0.015341701534170154,0.7880055788005579,0.19665271966527198,11,565,141
63019,2016,general,cong,376,0.007978723404255319,0.6542553191489362,0.3377659574468085,3,246,127
63020,2016,general,cong,429,0.009324009324009324,0.752913752913753,0.23776223776223776,4,323,102
63021,2016,general,cong,686,0.007288629737609329,0.7186588921282799,0.27405247813411077,5,493,188
63022,2016,general,cong,651,0.010752688172043012,0.6728110599078341,0.31643625192012287,7,438,206
63023,2016,general,cong,512,0.009765625,0.662109375,0.328125,5,339,168
63024,2016,general,cong,658,0.022796352583586626,0.6762917933130699,0.3009118541033435,15,445,198
63025,2016,general,cong,555,0.005405405405405406,0.7567567567567568,0.23783783783783785,3,420,132
63026,2016,general,cong,672,0.00744047619047619,0.7723214285714286,0.22023809523809523,5,519,148
63027,2016,general,cong,606,0.01155115511551155,0.6765676567656765,0.3118811881188119,7,410,189
63028,2016,general,cong,700,0.002857142857142857,0.7485714285714286,0.24857142857142858,2,524,174
