elect_dist,total_votes_12_adj,obama_tot_adj,romney_tot_adj,obama_prop_adj,romney_prop_adj
41080,66,30,35,0.45454545454545453,0.5303030303030303
45007,49,27,21,0.5510204081632653,0.42857142857142855
45008,424,158,263,0.37264150943396224,0.6202830188679245
45009,502,98,402,0.1952191235059761,0.8007968127490039
45010,213,44,168,0.20657276995305165,0.7887323943661971
45011,463,216,238,0.46652267818574517,0.5140388768898488
45013,512,185,317,0.361328125,0.619140625
45014,530,177,343,0.3339622641509434,0.6471698113207547
45015,164,2,160,0.012195121951219513,0.975609756097561
45016,552,112,436,0.2028985507246377,0.7898550724637681
45017,330,67,261,0.20303030303030303,0.7909090909090909
45019,361,98,256,0.27146814404432135,0.7091412742382271
45020,386,38,345,0.09844559585492228,0.8937823834196891
45021,413,74,336,0.1791767554479419,0.8135593220338984
45022,359,80,278,0.22284122562674094,0.7743732590529248
45023,531,198,326,0.3728813559322034,0.6139359698681732
45026,281,194,87,0.6903914590747331,0.3096085409252669
45027,358,181,172,0.505586592178771,0.48044692737430167
45028,258,176,78,0.6821705426356589,0.3023255813953488
45029,214,78,135,0.3644859813084112,0.6308411214953271
45030,484,245,231,0.506198347107438,0.4772727272727273
45031,434,121,308,0.27880184331797236,0.7096774193548387
45032,303,85,218,0.28052805280528054,0.7194719471947195
45033,323,156,165,0.48297213622291024,0.5108359133126935
45034,426,262,159,0.6150234741784038,0.3732394366197183
45035,299,107,186,0.35785953177257523,0.6220735785953178
45036,296,98,194,0.3310810810810811,0.6554054054054054
45037,318,100,214,0.31446540880503143,0.6729559748427673
45038,213,121,91,0.568075117370892,0.4272300469483568
45040,449,175,269,0.3897550111358575,0.5991091314031181
45041,138,55,80,0.39855072463768115,0.5797101449275363
45042,378,161,214,0.42592592592592593,0.5661375661375662
45043,451,198,247,0.43902439024390244,0.5476718403547672
45044,160,96,62,0.6,0.3875
45045,478,432,45,0.9037656903765691,0.09414225941422594
45046,547,508,37,0.9287020109689214,0.06764168190127971
45047,41,29,10,0.7073170731707317,0.24390243902439024
45048,607,277,324,0.45634266886326197,0.5337726523887973
45055,54,14,39,0.25925925925925924,0.7222222222222222
45057,413,197,212,0.47699757869249393,0.513317191283293
45071,304,100,201,0.32894736842105265,0.6611842105263158
46031,489,303,174,0.6196319018404908,0.3558282208588957
46034,429,280,138,0.6526806526806527,0.32167832167832167
46035,397,242,151,0.6095717884130982,0.380352644836272
46036,51,24,26,0.47058823529411764,0.5098039215686274
46037,15,8,7,0.5333333333333333,0.4666666666666667
46038,543,222,314,0.4088397790055249,0.578268876611418
46039,490,223,261,0.45510204081632655,0.5326530612244897
46040,114,73,37,0.6403508771929824,0.32456140350877194
46041,642,353,276,0.5498442367601246,0.42990654205607476
46042,239,126,112,0.5271966527196653,0.4686192468619247
46047,508,280,222,0.5511811023622047,0.43700787401574803
46048,428,283,137,0.6612149532710281,0.32009345794392524
46049,586,392,187,0.6689419795221843,0.3191126279863481
46050,711,376,324,0.5288326300984529,0.45569620253164556
46051,641,268,361,0.41809672386895474,0.5631825273010921
46052,750,383,354,0.5106666666666667,0.472
46053,484,279,201,0.5764462809917356,0.4152892561983471
46054,559,366,181,0.6547406082289803,0.32379248658318427
46055,562,375,174,0.6672597864768683,0.3096085409252669
46056,505,346,147,0.6851485148514852,0.29108910891089107
46057,593,329,243,0.554806070826307,0.40978077571669475
46058,559,383,164,0.6851520572450805,0.29338103756708406
46059,554,374,169,0.6750902527075813,0.30505415162454874
46060,702,386,303,0.5498575498575499,0.43162393162393164
46061,528,314,196,0.5946969696969697,0.3712121212121212
46062,731,457,263,0.625170998632011,0.359781121751026
46063,532,370,153,0.6954887218045113,0.287593984962406
46064,648,365,271,0.5632716049382716,0.4182098765432099
46065,627,383,234,0.6108452950558214,0.37320574162679426
46066,204,124,77,0.6078431372549019,0.37745098039215685
46067,585,230,343,0.39316239316239315,0.5863247863247864
46068,569,235,320,0.4130052724077329,0.562390158172232
46069,445,184,257,0.4134831460674157,0.5775280898876405
46070,435,144,285,0.3310344827586207,0.6551724137931034
46071,518,226,284,0.4362934362934363,0.5482625482625483
46072,624,357,255,0.5721153846153846,0.40865384615384615
46074,537,249,281,0.46368715083798884,0.5232774674115456
46076,1,1,0,1,0
46078,336,204,124,0.6071428571428571,0.36904761904761907
46079,538,206,326,0.3828996282527881,0.6059479553903345
47001,459,242,208,0.5272331154684096,0.4531590413943355
47002,455,284,163,0.6241758241758242,0.35824175824175825
47005,409,256,149,0.6259168704156479,0.3643031784841076
47006,404,290,110,0.7178217821782178,0.2722772277227723
47007,350,220,125,0.6285714285714286,0.35714285714285715
47008,349,187,154,0.5358166189111748,0.44126074498567336
47009,520,284,231,0.5461538461538461,0.4442307692307692
47011,394,201,181,0.5101522842639594,0.4593908629441624
47012,387,212,171,0.5478036175710594,0.4418604651162791
47013,418,256,156,0.6124401913875598,0.37320574162679426
47014,422,231,182,0.54739336492891,0.4312796208530806
47015,498,266,224,0.5341365461847389,0.4497991967871486
47016,322,182,137,0.5652173913043478,0.4254658385093168
47017,280,162,112,0.5785714285714286,0.4
47018,462,184,274,0.39826839826839827,0.5930735930735931
47019,118,52,64,0.4406779661016949,0.5423728813559322
47032,115,81,30,0.7043478260869566,0.2608695652173913
47038,132,70,57,0.5303030303030303,0.4318181818181818
47041,372,195,173,0.5241935483870968,0.4650537634408602
47048,344,162,177,0.47093023255813954,0.5145348837209303
47049,370,171,194,0.46216216216216216,0.5243243243243243
47053,328,316,10,0.9634146341463414,0.03048780487804878
47054,326,319,6,0.9785276073619632,0.018404907975460124
47055,394,251,139,0.6370558375634517,0.35279187817258884
47056,213,119,92,0.5586854460093896,0.431924882629108
47057,446,221,220,0.49551569506726456,0.49327354260089684
47058,210,117,92,0.5571428571428572,0.4380952380952381
47059,375,180,192,0.48,0.512
47060,174,106,67,0.6091954022988506,0.3850574712643678
47061,276,181,91,0.6557971014492754,0.32971014492753625
47062,352,161,186,0.45738636363636365,0.5284090909090909
47063,451,268,172,0.5942350332594235,0.38137472283813745
47064,377,193,179,0.5119363395225465,0.47480106100795755
47065,353,172,177,0.48725212464589235,0.5014164305949008
47066,175,84,88,0.48,0.5028571428571429
47067,191,106,83,0.5549738219895288,0.43455497382198954
47068,141,79,62,0.5602836879432624,0.4397163120567376
49036,139,92,44,0.6618705035971223,0.31654676258992803
49044,128,75,52,0.5859375,0.40625
49045,136,62,73,0.45588235294117646,0.5367647058823529
49047,389,271,113,0.6966580976863753,0.29048843187660667
49048,512,263,237,0.513671875,0.462890625
49049,414,254,156,0.6135265700483091,0.37681159420289856
49050,563,374,178,0.6642984014209592,0.31616341030195383
49051,418,245,166,0.5861244019138756,0.39712918660287083
49052,534,294,235,0.550561797752809,0.4400749063670412
49053,568,281,283,0.49471830985915494,0.4982394366197183
49054,332,157,172,0.47289156626506024,0.5180722891566265
49063,331,156,172,0.47129909365558914,0.5196374622356495
49065,0,0,0,NaN,NaN
51059,613,448,154,0.7308319738988581,0.25122349102773245
61001,0,0,0,NaN,NaN
61003,751,635,102,0.8455392809587217,0.13581890812250333
61004,646,501,129,0.7755417956656346,0.1996904024767802
61005,573,525,31,0.9162303664921466,0.05410122164048865
61006,574,450,113,0.7839721254355401,0.19686411149825783
61007,623,611,10,0.9807383627608347,0.016051364365971106
61008,638,599,28,0.9388714733542319,0.0438871473354232
61009,610,490,111,0.8032786885245902,0.1819672131147541
61010,634,534,93,0.8422712933753943,0.14668769716088328
61011,526,407,111,0.7737642585551331,0.21102661596958175
61012,812,492,307,0.6059113300492611,0.37807881773399016
61013,449,387,56,0.8619153674832962,0.12472160356347439
61014,575,394,170,0.6852173913043478,0.2956521739130435
61015,702,503,195,0.7165242165242165,0.2777777777777778
61016,919,820,91,0.8922742110990207,0.09902067464635474
61017,650,592,49,0.9107692307692308,0.07538461538461538
61018,719,558,153,0.7760778859527121,0.21279554937413073
61019,716,534,169,0.7458100558659218,0.2360335195530726
61020,547,380,161,0.6946983546617916,0.2943327239488117
61021,641,576,62,0.8985959438377535,0.0967238689547582
61022,606,513,88,0.8465346534653465,0.14521452145214522
61023,638,468,155,0.7335423197492164,0.24294670846394983
61024,665,352,307,0.5293233082706766,0.4616541353383459
61025,686,524,153,0.7638483965014577,0.2230320699708455
61026,635,553,75,0.8708661417322835,0.11811023622047244
61027,594,487,100,0.8198653198653199,0.16835016835016836
61028,592,452,129,0.7635135135135135,0.2179054054054054
61029,352,214,134,0.6079545454545454,0.3806818181818182
61030,674,527,144,0.7818991097922848,0.21364985163204747
61031,527,439,84,0.8330170777988615,0.15939278937381404
61032,430,358,68,0.8325581395348837,0.15813953488372093
61033,360,308,47,0.8555555555555555,0.13055555555555556
61034,647,238,397,0.3678516228748068,0.6136012364760433
61035,476,175,294,0.36764705882352944,0.6176470588235294
61036,356,153,200,0.4297752808988764,0.5617977528089888
61037,648,442,186,0.6820987654320988,0.28703703703703703
61038,690,370,305,0.5362318840579711,0.4420289855072464
61039,725,380,334,0.5241379310344828,0.4606896551724138
61040,771,355,406,0.4604409857328145,0.5265888456549935
61041,705,288,405,0.4085106382978723,0.574468085106383
61042,797,362,425,0.45420326223337515,0.533249686323714
61043,680,292,375,0.4294117647058823,0.5514705882352942
61044,478,232,242,0.48535564853556484,0.5062761506276151
61045,442,203,232,0.4592760180995475,0.5248868778280543
61046,675,272,391,0.40296296296296297,0.5792592592592593
61047,469,166,288,0.35394456289978676,0.6140724946695096
61048,462,165,287,0.35714285714285715,0.6212121212121212
61049,656,529,116,0.8064024390243902,0.17682926829268292
61050,466,389,73,0.8347639484978541,0.15665236051502146
61051,544,417,114,0.7665441176470589,0.20955882352941177
61052,702,528,166,0.7521367521367521,0.23646723646723647
61053,657,637,15,0.969558599695586,0.0228310502283105
61054,536,433,91,0.8078358208955224,0.16977611940298507
61055,566,523,38,0.9240282685512368,0.06713780918727916
61056,602,551,46,0.915282392026578,0.07641196013289037
61057,664,503,158,0.7575301204819277,0.23795180722891565
61058,563,549,14,0.9751332149200711,0.02486678507992895
61059,703,669,29,0.9516358463726885,0.041251778093883355
61060,527,434,84,0.8235294117647058,0.15939278937381404
61061,677,668,8,0.9867060561299852,0.011816838995568686
61062,452,211,235,0.4668141592920354,0.5199115044247787
61063,323,196,124,0.6068111455108359,0.38390092879256965
61064,39,29,9,0.7435897435897436,0.23076923076923078
61065,519,436,76,0.8400770712909441,0.1464354527938343
61067,0,0,0,NaN,NaN
61068,0,0,0,NaN,NaN
61069,436,387,41,0.8876146788990825,0.09403669724770643
61070,162,158,3,0.9753086419753086,0.018518518518518517
62001,688,222,459,0.3226744186046512,0.6671511627906976
62002,724,201,514,0.2776243093922652,0.7099447513812155
62003,568,153,406,0.26936619718309857,0.7147887323943662
62004,594,200,381,0.3367003367003367,0.6414141414141414
62005,683,163,512,0.23865300146412885,0.7496339677891655
62006,627,227,394,0.3620414673046252,0.6283891547049442
62007,582,207,366,0.3556701030927835,0.6288659793814433
62008,708,229,470,0.3234463276836158,0.6638418079096046
62009,309,103,204,0.3333333333333333,0.6601941747572816
62010,355,101,250,0.28450704225352114,0.704225352112676
62011,696,174,513,0.25,0.7370689655172413
62012,633,238,390,0.37598736176935227,0.6161137440758294
62013,656,264,383,0.4024390243902439,0.5838414634146342
62014,593,238,346,0.40134907251264756,0.5834738617200674
62015,651,275,366,0.42242703533026116,0.5622119815668203
62016,613,287,311,0.46818923327895595,0.5073409461663948
62017,643,203,433,0.3157076205287714,0.6734059097978227
62018,656,228,414,0.3475609756097561,0.6310975609756098
62019,692,187,499,0.2702312138728324,0.7210982658959537
