"AD","ED","County","EDAD Status","Event","Party/Independent Body","Office/Position Title","District Key","VoteFor","Unit Name","Tally"
"41","080","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Public Counter",22
"41","080","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Emergency",0
"41","080","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Absentee/Military",2
"41","080","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Federal",0
"41","080","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Special Presidential",0
"41","080","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Affidavit",0
"41","080","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Domenic M. Recchia Jr. (Democratic)",11
"41","080","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Michael G. Grimm (Republican)",10
"41","080","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Michael G. Grimm (Conservative)",2
"41","080","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Domenic M. Recchia Jr. (Working Families)",0
"41","080","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Michael G. Grimm (Independence)",0
"41","080","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Henry J. Bardel (Green)",0
"45","007","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Public Counter",14
"45","007","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Emergency",0
"45","007","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Absentee/Military",2
"45","007","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Federal",0
"45","007","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Special Presidential",0
"45","007","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Affidavit",0
"45","007","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Domenic M. Recchia Jr. (Democratic)",7
"45","007","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Michael G. Grimm (Republican)",5
"45","007","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Michael G. Grimm (Conservative)",1
"45","007","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Domenic M. Recchia Jr. (Working Families)",2
"45","007","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Michael G. Grimm (Independence)",0
"45","007","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Henry J. Bardel (Green)",0
"45","008","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Public Counter",165
"45","008","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Emergency",0
"45","008","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Absentee/Military",9
"45","008","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Federal",3
"45","008","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Special Presidential",0
"45","008","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Affidavit",3
"45","008","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Domenic M. Recchia Jr. (Democratic)",82
"45","008","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Michael G. Grimm (Republican)",60
"45","008","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Michael G. Grimm (Conservative)",12
"45","008","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Domenic M. Recchia Jr. (Working Families)",3
"45","008","Kings","IN-PLAY","General Election 2014 - 11/04/2014",,"Representative in Congress","11",1,"Michael G. Grimm (Independence)",3
