ad,ed,elect_dist
64,037,64037
64,038,64038
64,039,64039
64,040,64040
64,041,64041
64,042,64042
64,043,64043
64,044,64044
64,045,64045
64,046,64046
64,047,64047
64,048,64048
64,049,64049
64,050,64050
64,051,64051
64,052,64052
64,053,64053
64,054,64054
64,055,64055
64,056,64056
64,057,64057
64,058,64058
64,059,64059
64,060,64060
64,061,64061
64,062,64062
64,063,64063
64,064,64064
64,065,64065
64,066,64066
64,067,64067
64,068,64068
64,069,64069
64,070,64070
