ED_41080,121.0
ED_45007,65.0
ED_45008,642.0
ED_45009,831.0
ED_45010,368.0
ED_45011,764.0
ED_45013,841.0
ED_45014,968.0
ED_45015,217.0
ED_45016,958.0
ED_45017,541.0
ED_45019,649.0
ED_45020,527.0
ED_45021,671.0
ED_45022,737.0
ED_45023,853.0
ED_45026,644.0
ED_45027,709.0
ED_45028,511.0
ED_45029,447.0
ED_45030,886.0
ED_45031,746.0
ED_45032,577.0
ED_45033,634.0
ED_45034,904.0
ED_45035,515.0
ED_45036,458.0
ED_45037,631.0
ED_45038,453.0
ED_45040,743.0
ED_45041,248.0
ED_45042,638.0
ED_45043,795.0
ED_45044,334.0
ED_45045,779.0
ED_45046,1173.0
ED_45047,100.0
ED_45048,1037.0
ED_45055,44.0
ED_45057,754.0
ED_45071,485.0
ED_46031,837.0
ED_46034,445.0
ED_46035,406.0
ED_46036,920.0
ED_46037,6.0
ED_46038,1039.0
ED_46039,954.0
ED_46040,275.0
ED_46041,922.0
ED_46042,474.0
ED_46047,900.0
ED_46048,872.0
ED_46049,834.0
ED_46050,965.0
ED_46051,901.0
ED_46052,995.0
ED_46053,869.0
ED_46054,781.0
ED_46055,914.0
ED_46056,826.0
ED_46057,870.0
ED_46058,819.0
ED_46059,911.0
ED_46060,1075.0
ED_46061,874.0
ED_46062,1075.0
ED_46063,642.0
ED_46064,976.0
ED_46065,924.0
ED_46066,602.0
ED_46067,999.0
ED_46068,862.0
ED_46069,786.0
ED_46070,794.0
ED_46071,855.0
ED_46072,998.0
ED_46074,96.0
ED_46076,1.0
ED_46078,581.0
ED_46079,755.0
ED_47001,893.0
ED_47002,951.0
ED_47005,700.0
ED_47006,773.0
ED_47007,693.0
ED_47008,637.0
ED_47009,922.0
ED_47011,650.0
ED_47012,756.0
ED_47013,786.0
ED_47014,754.0
ED_47015,841.0
ED_47016,666.0
ED_47017,539.0
ED_47018,882.0
ED_47019,183.0
ED_47032,184.0
ED_47038,193.0
ED_47041,678.0
ED_47048,652.0
ED_47049,700.0
ED_47053,621.0
ED_47054,599.0
ED_47055,776.0
ED_47056,487.0
ED_47057,637.0
ED_47058,424.0
ED_47059,649.0
ED_47060,299.0
ED_47061,641.0
ED_47062,792.0
ED_47063,829.0
ED_47064,736.0
ED_47065,696.0
ED_47066,321.0
ED_47067,405.0
ED_47068,177.0
ED_49036,261.0
ED_49044,280.0
ED_49045,255.0
ED_49047,680.0
ED_49048,900.0
ED_49049,803.0
ED_49050,928.0
ED_49051,698.0
ED_49052,991.0
ED_49053,864.0
ED_49054,553.0
ED_49063,493.0
ED_51059,934.0
ED_64075,1051.0
ED_64076,1023.0
ED_64077,1002.0
ED_64078,1007.0
ED_64079,853.0
ED_64080,845.0
ED_64081,403.0
ED_64083,665.0
ED_64084,810.0
ED_64085,730.0
ED_64086,1598.0
ED_64087,700.0
ED_64088,885.0
ED_64089,835.0
ED_64090,850.0
ED_64091,440.0
ED_64098,692.0
