ElectionID,OfficeCode,BoroughCode,PoliticalDistrict,AD,ED,ElectionName,OfficeTitle,BoroName,EDused,NumofCandidates,VoteforNum,DistFormatted,PubCounter,AbsenteeMil,Federal,Emergency,Affidavit,TotForOffice,Scattered,Unrecorded,PartyName1,CandName1,CandVotes1,PartyName2,CandName2,CandVotes2,PartyName3,CandName3,CandVotes3,PartyName4,CandName4,CandVotes4,PartyName5,CandName5,CandVotes5,ADED,PluralCong12,PluralCongVotes,GrimmTot,MurphyTot
2012G,20,3,11,45,028,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    28th,233,6,2,0,17,221,1,37,Democratic,Mark S. Murphy,151,Republican,Michael G. Grimm,59,Conservative,Michael G. Grimm,4,Working Families,Mark S. Murphy,4,Green,Henry J. Bardel,2,45028,1,155,63,155
2012G,20,3,11,45,029,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    29th,196,5,1,0,16,179,1,39,Democratic,Mark S. Murphy,78,Republican,Michael G. Grimm,82,Conservative,Michael G. Grimm,8,Working Families,Mark S. Murphy,9,Green,Henry J. Bardel,1,45029,2,90,90,87
2012G,20,3,11,45,030,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    30th,426,9,6,0,44,418,0,67,Democratic,Mark S. Murphy,203,Republican,Michael G. Grimm,173,Conservative,Michael G. Grimm,25,Working Families,Mark S. Murphy,12,Green,Henry J. Bardel,5,45030,1,215,198,215
2012G,20,3,11,45,031,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    31st,266,5,0,0,30,242,0,59,Democratic,Mark S. Murphy,64,Republican,Michael G. Grimm,160,Conservative,Michael G. Grimm,10,Working Families,Mark S. Murphy,2,Green,Henry J. Bardel,6,45031,2,170,170,66
2012G,20,3,11,45,032,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    32nd,239,7,6,0,54,238,0,68,Democratic,Mark S. Murphy,71,Republican,Michael G. Grimm,149,Conservative,Michael G. Grimm,11,Working Families,Mark S. Murphy,4,Green,Henry J. Bardel,3,45032,2,160,160,75
2012G,20,3,11,45,033,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    33rd,292,9,1,0,23,271,0,54,Democratic,Mark S. Murphy,123,Republican,Michael G. Grimm,130,Conservative,Michael G. Grimm,13,Working Families,Mark S. Murphy,3,Green,Henry J. Bardel,2,45033,2,143,143,126
2012G,20,3,11,45,034,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    34th,382,7,0,0,39,350,1,78,Democratic,Mark S. Murphy,179,Republican,Michael G. Grimm,142,Conservative,Michael G. Grimm,12,Working Families,Mark S. Murphy,10,Green,Henry J. Bardel,6,45034,1,189,154,189
2012G,20,3,11,45,035,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    35th,253,6,1,0,39,240,0,59,Democratic,Mark S. Murphy,81,Republican,Michael G. Grimm,139,Conservative,Michael G. Grimm,14,Working Families,Mark S. Murphy,5,Green,Henry J. Bardel,1,45035,2,153,153,86
2012G,20,3,11,45,036,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    36th,249,15,1,0,32,254,1,43,Democratic,Mark S. Murphy,84,Republican,Michael G. Grimm,152,Conservative,Michael G. Grimm,11,Working Families,Mark S. Murphy,4,Green,Henry J. Bardel,2,45036,2,163,163,88
2012G,20,3,11,45,037,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    37th,409,9,4,0,35,376,2,81,Democratic,Mark S. Murphy,116,Republican,Michael G. Grimm,236,Conservative,Michael G. Grimm,14,Working Families,Mark S. Murphy,2,Green,Henry J. Bardel,6,45037,2,250,250,118
2012G,20,3,11,45,038,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    38th,162,8,3,0,44,175,1,42,Democratic,Mark S. Murphy,95,Republican,Michael G. Grimm,71,Conservative,Michael G. Grimm,3,Working Families,Mark S. Murphy,3,Green,Henry J. Bardel,2,45038,1,98,74,98
2012G,20,3,11,45,040,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    40th,423,14,1,0,13,386,0,65,Democratic,Mark S. Murphy,147,Republican,Michael G. Grimm,216,Conservative,Michael G. Grimm,15,Working Families,Mark S. Murphy,5,Green,Henry J. Bardel,3,45040,2,231,231,152
2012G,20,3,11,45,041,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    41st,118,4,1,0,17,122,0,18,Democratic,Mark S. Murphy,46,Republican,Michael G. Grimm,66,Conservative,Michael G. Grimm,6,Working Families,Mark S. Murphy,1,Green,Henry J. Bardel,3,45041,2,72,72,47
2012G,20,3,11,45,042,General Election - 11/06/2,Representative in Congress,Kings,Y,5,1,    42nd,346,7,2,0,24,320,1,59,Democratic,Mark S. Murphy,134,Republican,Michael G. Grimm,157,Conservative,Michael G. Grimm,21,Working Families,Mark S. Murphy,7,Green,Henry J. Bardel,0,45042,2,178,178,141
